Job,Operation,Arrival,Machine,Start,Simulated Processing Time,Flow time,End
Job_000,0,0.0,M0,0.0,13.2,13.2,13.2
Job_000,1,0.0,M1,29.0,55.65,84.65,84.65
Job_000,2,0.0,M2,107.0,12.37,119.37,119.37
Job_000,3,0.0,M3,119.37,31.29,150.66,150.66
Job_000,4,0.0,M4,152.0,63.67,215.67,215.67
Job_000,5,0.0,M5,215.67,9.1,224.77,224.77
Job_000,6,0.0,M6,224.77,47.75,272.52,272.52
Job_000,7,0.0,M7,274.0,57.75,331.75,331.75
Job_000,8,0.0,M8,331.75,41.16,372.91,372.91
Job_000,9,0.0,M9,374.0,20.74,394.74,394.74
Job_001,0,83.42,M0,83.42,35.33,35.33,118.75
Job_001,1,83.42,M2,126.42,133.87,176.87,260.29
Job_001,2,83.42,M4,260.29,147.97,324.84,408.26
Job_001,3,83.42,M9,408.26,9.69,334.53,417.95
Job_001,4,83.42,M3,435.67,61.07,413.32,496.74
Job_001,5,83.42,M1,496.74,35.13,448.45,531.87
Job_001,6,83.42,M6,531.87,43.95,492.40000000000003,575.82
Job_001,7,83.42,M5,575.82,31.85,524.25,607.67
Job_001,8,83.42,M7,607.67,87.64,611.89,695.31
Job_001,9,83.42,M8,751.85,30.94,699.37,782.79
Job_002,0,144.74,M1,144.74,97.24,97.23999999999998,241.98
Job_002,1,144.74,M0,241.98,171.4,268.64,413.38
Job_002,2,144.74,M3,413.38,22.29,290.93,435.67
Job_002,3,144.74,M2,505.02,97.24,457.52,602.26
Job_002,4,144.74,M8,602.26,85.7,543.22,687.96
Job_002,5,144.74,M5,687.96,6.5,549.72,694.46
Job_002,6,144.74,M7,695.31,14.82,565.39,710.13
Job_002,7,144.74,M6,710.13,120.59,685.98,830.72
Job_002,8,144.74,M9,838.74,53.76,747.76,892.5
Job_002,9,144.74,M4,892.5,17.33,765.09,909.83
Job_003,0,197.03,M1,241.98,87.02,131.97,329.0
Job_003,1,197.03,M2,329.0,176.02,307.99,505.02
Job_003,2,197.03,M0,505.02,76.81,384.80000000000007,581.83
Job_003,3,197.03,M4,581.83,95.03,479.83000000000004,676.86
Job_003,4,197.03,M6,676.86,4.19,484.02,681.05
Job_003,5,197.03,M8,687.96,63.89,554.82,751.85
Job_003,6,197.03,M7,751.85,108.58,663.4,860.43
Job_003,7,197.03,M3,860.43,113.91,777.3100000000001,974.34
Job_003,8,197.03,M9,1129.11,18.2,950.28,1147.31
Job_003,9,197.03,M5,1179.16,25.94,1008.0699999999999,1205.1
Job_004,0,233.63,M2,260.29,19.17,45.829999999999984,279.46
Job_004,1,233.63,M0,413.38,4.9,184.64999999999998,418.28
Job_004,2,233.63,M1,433.26,26.77,226.39999999999998,460.03
Job_004,3,233.63,M5,460.03,102.66,329.06000000000006,562.69
Job_004,4,233.63,M3,614.62,27.89,408.88,642.51
Job_004,5,233.63,M4,676.86,79.26,522.49,756.12
Job_004,6,233.63,M8,782.79,25.35,574.51,808.14
Job_004,7,233.63,M7,860.43,44.01,670.8100000000001,904.44
Job_004,8,233.63,M9,969.87,114.44,850.68,1084.31
Job_004,9,233.63,M6,1084.31,50.72,901.4,1135.03
Job_005,0,302.58,M2,602.26,88.8,388.47999999999996,691.06
Job_005,1,302.58,M1,691.06,2.32,390.8,693.38
Job_005,2,302.58,M5,694.46,58.15,450.03000000000003,752.61
Job_005,3,302.58,M3,752.61,60.4,510.43,813.01
Job_005,4,302.58,M8,813.01,110.26,620.69,923.27
Job_005,5,302.58,M9,1084.31,44.8,826.53,1129.11
Job_005,6,302.58,M0,1197.73,42.3,937.45,1240.03
Job_005,7,302.58,M6,1305.11,47.37,1049.9,1352.48
Job_006,0,340.81,M1,399.42,33.84,92.44999999999999,433.26
Job_006,1,340.81,M0,445.42,26.21,130.82,471.63
Job_006,2,340.81,M3,496.74,117.88,273.81,614.62
Job_006,3,340.81,M2,711.91,10.83,381.93,722.74
Job_006,4,340.81,M6,830.72,52.85,542.76,883.57
Job_006,5,340.81,M5,883.57,15.87,558.6300000000001,899.44
Job_006,6,340.81,M9,899.44,70.43,629.06,969.87
Job_006,7,340.81,M8,969.87,68.66,697.72,1038.53
Job_006,8,340.81,M7,1038.53,49.69,747.4100000000001,1088.22
Job_006,9,340.81,M4,1088.22,72.15,819.56,1160.37
Job_007,0,488.49,M2,691.06,20.85,223.41999999999996,711.91
Job_007,1,488.49,M0,779.4,105.3,396.21000000000004,884.7
Job_007,2,488.49,M1,970.79,85.4,567.7,1056.19
Job_007,3,488.49,M5,1056.19,81.65,649.3499999999999,1137.84
Job_007,4,488.49,M4,1160.37,27.43,699.31,1187.8
Job_007,5,488.49,M6,1187.8,117.31,816.6199999999999,1305.11
Job_007,6,488.49,M8,1305.11,15.79,832.4100000000001,1320.9
Job_007,7,488.49,M9,1320.9,38.95,871.3599999999999,1359.85
Job_007,8,488.49,M7,1359.85,22.27,893.6299999999999,1382.12
Job_007,9,488.49,M3,1382.12,91.24,984.8699999999999,1473.36
Job_008,0,708.67,M0,708.67,70.73,70.73000000000002,779.4
Job_008,1,708.67,M1,917.73,53.06,262.12,970.79
Job_008,2,708.67,M3,974.34,87.28,352.94999999999993,1061.62
Job_008,3,708.67,M5,1137.84,41.32,470.4900000000001,1179.16
Job_008,4,708.67,M2,1179.16,103.5,573.9900000000001,1282.66
Job_008,5,708.67,M9,1282.66,8.38,582.37,1291.04
Job_008,6,708.67,M6,1352.48,23.21,667.0200000000001,1375.69
Job_008,7,708.67,M7,1382.12,87.53,760.9800000000001,1469.65
Job_009,0,740.79,M1,745.74,171.99,176.94000000000005,917.73
Job_009,1,740.79,M0,1011.08,17.06,287.35000000000014,1028.14
Job_009,2,740.79,M2,1028.14,44.73,332.0799999999999,1072.87
Job_009,3,740.79,M6,1072.87,5.82,337.9000000000001,1078.69
Job_009,4,740.79,M8,1078.69,63.41,401.30999999999995,1142.1
Job_009,5,740.79,M9,1147.31,51.88,458.4000000000001,1199.19
Job_009,6,740.79,M5,1205.1,46.21,510.52,1251.31
Job_009,7,740.79,M3,1251.31,63.49,574.01,1314.8
Job_009,8,740.79,M4,1314.8,95.7,669.71,1410.5
Job_010,0,845.0,M2,845.0,48.95,48.950000000000045,893.95
Job_010,1,845.0,M0,1028.14,139.93,323.06999999999994,1168.07
Job_010,2,845.0,M1,1242.55,20.53,418.0799999999999,1263.08
Job_010,3,845.0,M5,1302.24,93.18,550.4200000000001,1395.42
Job_011,0,894.99,M0,898.74,112.34,116.09000000000003,1011.08
Job_011,1,894.99,M1,1056.19,74.62,235.81999999999994,1130.81
Job_011,2,894.99,M3,1150.74,56.42,312.1700000000001,1207.16
Job_011,3,894.99,M5,1251.31,50.93,407.25,1302.24
Job_012,0,950.74,M0,1168.07,29.66,246.99,1197.73
Job_012,1,950.74,M2,1282.66,52.71,384.6299999999999,1335.37
Job_012,2,950.74,M4,1410.5,41.24,501.0,1451.74
Job_013,0,1123.32,M2,1426.81,95.71,399.20000000000005,1522.52
Job_014,0,1128.21,M1,1130.81,111.74,114.33999999999992,1242.55
Job_014,1,1128.21,M2,1352.68,74.13,298.5999999999999,1426.81
Job_015,0,1134.27,M2,1335.37,17.31,218.41000000000008,1352.68
Job_015,1,1134.27,M0,1352.68,5.99,224.4000000000001,1358.67
Job_015,2,1134.27,M1,1358.67,14.19,238.58999999999992,1372.86
Job_015,3,1134.27,M5,1395.42,33.89,295.03999999999996,1429.31
Job_016,0,1135.63,M1,1263.08,93.62,221.06999999999994,1356.7
Job_016,1,1135.63,M0,1358.67,136.58,359.6199999999999,1495.25
