Job,Operation,Arrival,Machine,Planned Start,Processing Time
Job_005,8,302.58,M4,1004.74,6.0
Job_005,9,302.58,M7,1010.74,25.0
Job_010,4,845.0,M4,1180.74,32.0
Job_010,5,845.0,M6,1212.74,88.0
Job_010,6,845.0,M8,1300.74,19.0
Job_010,7,845.0,M9,1319.74,48.0
Job_012,3,950.74,M9,1367.74,11.0
Job_009,9,740.79,M7,1377.74,45.0
Job_015,4,1134.27,M3,1383.21,26.0
Job_017,0,1254.35,M0,1385.21,29.0
Job_011,4,894.99,M2,1394.74,85.0
Job_013,1,1123.32,M1,1394.74,2.0
Job_013,2,1123.32,M5,1396.74,52.0
Job_015,5,1134.27,M4,1409.21,69.0
Job_016,2,1135.63,M3,1409.21,39.0
Job_014,2,1128.21,M0,1414.21,71.0
Job_017,1,1254.35,M1,1414.21,78.0
Job_010,8,845.0,M7,1422.74,36.0
Job_012,4,950.74,M3,1448.21,69.0
Job_008,8,708.67,M4,1478.21,26.0
Job_015,6,1134.27,M8,1478.21,21.0
Job_011,5,894.99,M9,1479.74,11.0
Job_016,3,1135.63,M2,1479.74,74.0
Job_011,6,894.99,M6,1490.74,40.0
Job_018,0,1354.37,M1,1492.21,85.0
Job_015,7,1134.27,M7,1499.21,49.0
Job_014,3,1128.21,M4,1504.21,99.0
Job_008,9,708.67,M8,1504.21,74.0
Job_013,3,1123.32,M3,1517.21,95.0
Job_011,7,894.99,M7,1548.21,89.0
Job_015,8,1134.27,M9,1548.21,72.0
Job_017,2,1254.35,M2,1553.74,9.0
Job_012,5,950.74,M1,1577.21,28.0
Job_018,1,1354.37,M0,1577.21,13.0
Job_016,4,1135.63,M8,1578.21,90.0
Job_018,2,1354.37,M2,1590.21,61.0
Job_019,0,1440.0,M0,1590.21,29.0
Job_012,6,950.74,M6,1605.21,46.0
Job_017,3,1254.35,M3,1612.21,36.0
Job_020,0,1523.42,M0,1619.21,43.0
Job_019,1,1440.0,M1,1619.21,78.0
Job_011,8,894.99,M4,1637.21,26.0
Job_010,9,845.0,M3,1648.21,79.0
Job_012,7,950.74,M5,1651.21,46.0
Job_014,4,1128.21,M6,1651.21,9.0
Job_015,9,1134.27,M6,1660.21,53.0
Job_017,4,1254.35,M4,1663.21,49.0
Job_014,5,1128.21,M8,1668.21,52.0
Job_016,5,1135.63,M5,1697.21,10.0
Job_019,2,1440.0,M2,1697.21,9.0
Job_021,0,1584.74,M1,1697.21,91.0
Job_020,1,1523.42,M2,1706.21,90.0
Job_016,6,1135.63,M7,1707.21,12.0
Job_017,5,1254.35,M5,1712.21,11.0
Job_018,3,1354.37,M6,1713.21,7.0
Job_016,7,1135.63,M6,1720.21,89.0
Job_013,4,1123.32,M8,1720.21,48.0
Job_014,6,1128.21,M7,1720.21,85.0
Job_019,3,1440.0,M3,1727.21,36.0
Job_019,4,1440.0,M4,1763.21,49.0
Job_011,9,894.99,M8,1768.21,74.0
Job_013,5,1123.32,M9,1768.21,72.0
Job_022,0,1637.03,M1,1788.21,81.0
Job_023,0,1673.63,M2,1796.21,14.0
Job_012,8,950.74,M7,1805.21,72.0
Job_014,7,1128.21,M3,1805.21,98.0
Job_017,6,1254.35,M6,1809.21,62.0
Job_024,0,1742.58,M2,1810.21,84.0
Job_019,5,1440.0,M5,1812.21,11.0
Job_020,2,1523.42,M4,1812.21,75.0
Job_016,8,1135.63,M9,1840.21,45.0
Job_013,6,1123.32,M0,1840.21,47.0
Job_012,9,950.74,M8,1877.21,30.0
Job_017,7,1254.35,M7,1877.21,56.0
Job_013,7,1123.32,M6,1887.21,65.0
Job_020,3,1523.42,M9,1887.21,11.0
Job_021,1,1584.74,M0,1887.21,85.0
Job_020,4,1523.42,M3,1903.21,69.0
Job_018,4,1354.37,M8,1907.21,64.0
Job_013,8,1123.32,M4,1952.21,6.0
Job_019,6,1440.0,M6,1952.21,62.0
Job_013,9,1123.32,M7,1958.21,25.0
Job_016,9,1135.63,M4,1958.21,33.0
Job_018,5,1354.37,M9,1971.21,76.0
Job_017,8,1254.35,M8,1971.21,44.0
Job_020,5,1523.42,M1,1972.21,28.0
Job_021,2,1584.74,M3,1972.21,39.0
Job_023,1,1673.63,M0,1972.21,6.0
Job_023,2,1673.63,M1,2000.21,22.0
Job_021,3,1584.74,M2,2011.21,74.0
Job_019,7,1440.0,M7,2014.21,56.0
Job_020,6,1523.42,M6,2014.21,46.0
Job_024,1,1742.58,M1,2022.21,2.0
Job_025,0,1780.81,M1,2024.21,46.0
Job_014,8,1128.21,M9,2047.21,22.0
Job_018,6,1354.37,M5,2047.21,47.0
Job_017,9,1254.35,M9,2069.21,21.0
Job_019,8,1440.0,M8,2070.21,44.0
Job_022,1,1637.03,M2,2085.21,95.0
Job_014,9,1128.21,M5,2094.21,43.0
Job_018,7,1354.37,M3,2094.21,52.0
Job_019,9,1440.0,M9,2114.21,21.0
Job_021,4,1584.74,M8,2114.21,90.0
Job_023,3,1673.63,M5,2137.21,61.0
Job_018,8,1354.37,M4,2146.21,90.0
Job_022,2,1637.03,M0,2180.21,71.0
Job_026,0,1928.49,M2,2180.21,31.0
Job_023,4,1673.63,M3,2198.21,26.0
Job_024,2,1742.58,M5,2198.21,52.0
Job_018,9,1354.37,M7,2236.21,45.0
Job_020,7,1523.42,M5,2250.21,46.0
Job_024,3,1742.58,M3,2250.21,95.0
Job_025,1,1780.81,M0,2251.21,37.0
Job_022,3,1637.03,M4,2251.21,99.0
Job_026,1,1928.49,M0,2288.21,86.0
Job_020,8,1523.42,M7,2296.21,72.0
Job_021,5,1584.74,M5,2296.21,10.0
Job_024,4,1742.58,M8,2345.21,48.0
Job_025,2,1780.81,M3,2345.21,61.0
Job_022,4,1637.03,M6,2350.21,9.0
Job_021,6,1584.74,M7,2368.21,12.0
Job_026,2,1928.49,M1,2374.21,46.0
Job_021,7,1584.74,M6,2380.21,89.0
Job_020,9,1523.42,M8,2393.21,30.0
Job_024,5,1742.58,M9,2393.21,72.0
Job_025,3,1780.81,M2,2406.21,13.0
Job_029,0,2285.0,M2,2419.21,31.0
Job_028,0,2180.79,M1,2420.21,85.0
Job_022,5,1637.03,M8,2423.21,52.0
Job_024,6,1742.58,M0,2465.21,47.0
Job_021,8,1584.74,M9,2469.21,45.0
Job_025,4,1780.81,M6,2469.21,32.0
Job_022,6,1637.03,M7,2475.21,85.0
Job_025,5,1780.81,M5,2501.21,21.0
Job_024,7,1742.58,M6,2512.21,65.0
Job_027,0,2148.67,M0,2512.21,76.0
Job_021,9,1584.74,M4,2514.21,33.0
Job_025,6,1780.81,M9,2522.21,32.0
Job_026,3,1928.49,M5,2522.21,74.0
Job_023,5,1673.63,M4,2547.21,69.0
Job_022,7,1637.03,M3,2560.21,98.0
Job_028,1,2180.79,M0,2588.21,13.0
Job_027,1,2148.67,M1,2588.21,69.0
Job_028,2,2180.79,M2,2601.21,61.0
Job_029,1,2285.0,M0,2601.21,86.0
Job_023,6,1673.63,M8,2616.21,21.0
Job_026,4,1928.49,M4,2616.21,32.0
Job_023,7,1673.63,M7,2637.21,49.0
Job_025,7,1780.81,M8,2637.21,89.0
Job_024,8,1742.58,M4,2648.21,6.0
Job_026,5,1928.49,M6,2648.21,88.0
Job_027,2,2148.67,M3,2658.21,76.0
Job_023,8,1673.63,M9,2686.21,72.0
Job_024,9,1742.58,M7,2686.21,25.0
Job_029,2,2285.0,M1,2687.21,46.0
Job_031,0,2390.74,M0,2687.21,43.0
Job_025,8,1780.81,M7,2726.21,30.0
Job_030,0,2334.99,M0,2730.21,76.0
Job_031,1,2390.74,M2,2730.21,90.0
Job_027,3,2148.67,M5,2734.21,51.0
Job_026,6,1928.49,M8,2736.21,19.0
Job_025,9,1780.81,M4,2756.21,55.0
Job_023,9,1673.63,M6,2758.21,53.0
Job_026,7,1928.49,M9,2758.21,48.0
Job_029,3,2285.0,M5,2785.21,74.0
Job_022,8,1637.03,M9,2806.21,22.0
Job_026,8,1928.49,M7,2806.21,36.0
Job_030,1,2334.99,M1,2806.21,69.0
Job_028,3,2180.79,M6,2811.21,7.0
Job_028,4,2180.79,M8,2818.21,64.0
Job_027,4,2148.67,M2,2820.21,85.0
Job_026,9,1928.49,M3,2842.21,79.0
Job_022,9,1637.03,M5,2859.21,43.0
Job_029,4,2285.0,M4,2859.21,32.0
Job_033,0,2568.21,M1,2875.21,81.0
Job_031,2,2390.74,M4,2891.21,75.0
Job_027,5,2148.67,M9,2905.21,11.0
Job_032,0,2563.32,M2,2905.21,84.0
Job_027,6,2148.67,M6,2916.21,40.0
Job_028,5,2180.79,M9,2916.21,76.0
Job_030,2,2334.99,M3,2921.21,76.0
Job_027,7,2148.67,M7,2956.21,89.0
Job_029,5,2285.0,M6,2956.21,88.0
Job_035,0,2575.63,M1,2956.21,91.0
Job_034,0,2574.27,M2,2989.21,14.0
Job_028,6,2180.79,M5,2992.21,47.0
Job_031,3,2390.74,M9,2992.21,11.0
Job_031,4,2390.74,M3,3003.21,69.0
