Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_000,0,0.0,1381.052675650455,M0,0.0,29.0,29.0,0.0
Job_000,1,0.0,1381.052675650455,M1,29.0,78.0,107.0,0.0
Job_001,0,83.42,1866.5513027385623,M0,83.42,43.0,126.42,0.0
Job_000,2,0.0,1381.052675650455,M2,107.0,9.0,116.0,0.0
Job_000,3,0.0,1381.052675650455,M3,116.0,36.0,152.0,0.0
Job_000,4,0.0,1381.052675650455,M4,152.0,49.0,201.0,0.0
Job_000,5,0.0,1381.052675650455,M5,201.0,11.0,212.0,0.0
Job_000,6,0.0,1381.052675650455,M6,212.0,62.0,274.0,0.0
Job_004,0,233.63,1607.6900038750096,M2,233.63,14.0,247.63,0.0
Job_001,1,83.42,1866.5513027385623,M2,247.63,90.0,337.63,0.0
Job_004,1,233.63,1607.6900038750096,M0,247.63,6.0,253.63,0.0
Job_004,2,233.63,1607.6900038750096,M1,253.63,22.0,275.63,0.0
Job_000,7,0.0,1381.052675650455,M7,274.0,56.0,330.0,0.0
Job_004,3,233.63,1607.6900038750096,M5,275.63,61.0,336.63,0.0
Job_000,8,0.0,1381.052675650455,M8,330.0,44.0,374.0,0.0
Job_004,4,233.63,1607.6900038750096,M3,336.63,26.0,362.63,0.0
Job_005,0,302.58,2036.7626003104447,M2,337.63,84.0,421.63,0.0
Job_006,0,340.81,1795.285729292631,M1,340.81,46.0,386.81,0.0
Job_004,5,233.63,1607.6900038750096,M4,362.63,69.0,431.63,0.0
Job_000,9,0.0,1381.052675650455,M9,374.0,21.0,395.0,0.0
Job_006,1,340.81,1795.285729292631,M0,386.81,37.0,423.81,0.0
Job_005,1,302.58,2036.7626003104447,M1,421.63,2.0,423.63,0.0
Job_002,0,144.74,2130.658784226477,M1,423.63,91.0,514.63,0.0
Job_005,2,302.58,2036.7626003104447,M5,423.63,52.0,475.63,0.0
Job_006,2,340.81,1795.285729292631,M3,423.81,61.0,484.81,0.0
Job_001,2,83.42,1866.5513027385623,M4,431.63,75.0,506.63,0.0
Job_004,6,233.63,1607.6900038750096,M8,431.63,21.0,452.63,0.0
Job_004,7,233.63,1607.6900038750096,M7,452.63,49.0,501.63,0.0
Job_005,3,302.58,2036.7626003104447,M3,484.81,95.0,579.81,0.0
Job_006,3,340.81,1795.285729292631,M2,484.81,13.0,497.81,0.0
Job_006,4,340.81,1795.285729292631,M6,497.81,32.0,529.81,0.0
Job_007,0,488.49,2373.0150434825196,M2,497.81,31.0,528.81,0.0
Job_001,3,83.42,1866.5513027385623,M9,506.63,11.0,517.63,0.0
Job_002,1,144.74,2130.658784226477,M0,514.63,85.0,599.63,0.0
Job_003,0,197.03,2487.1300064583497,M1,514.63,81.0,595.63,0.0
Job_004,8,233.63,1607.6900038750096,M9,517.63,72.0,589.63,0.0
Job_006,5,340.81,1795.285729292631,M5,529.81,21.0,550.81,0.0
Job_001,4,83.42,1866.5513027385623,M3,579.81,69.0,648.81,0.0
Job_005,4,302.58,2036.7626003104447,M8,579.81,48.0,627.81,0.0
Job_004,9,233.63,1607.6900038750096,M6,589.63,53.0,642.63,0.0
Job_006,6,340.81,1795.285729292631,M9,589.63,32.0,621.63,0.0
Job_007,1,488.49,2373.0150434825196,M0,599.63,86.0,685.63,0.0
Job_005,5,302.58,2036.7626003104447,M9,627.81,72.0,699.81,0.0
Job_006,7,340.81,1795.285729292631,M8,627.81,89.0,716.81,0.0
Job_001,5,83.42,1866.5513027385623,M1,648.81,28.0,676.81,0.0
Job_002,2,144.74,2130.658784226477,M3,648.81,39.0,687.81,0.0
Job_001,6,83.42,1866.5513027385623,M6,676.81,46.0,722.81,0.0
Job_007,2,488.49,2373.0150434825196,M1,685.63,46.0,731.63,0.0
Job_002,3,144.74,2130.658784226477,M2,687.81,74.0,761.81,0.0
Job_005,6,302.58,2036.7626003104447,M0,699.81,47.0,746.81,0.0
Job_006,8,340.81,1795.285729292631,M7,716.81,30.0,746.81,0.0
Job_001,7,83.42,1866.5513027385623,M5,722.81,46.0,768.81,0.0
Job_009,0,740.79,2628.8113793702423,M1,740.79,85.0,825.79,0.0
Job_005,7,302.58,2036.7626003104447,M6,746.81,65.0,811.81,0.0
Job_006,9,340.81,1795.285729292631,M4,746.81,55.0,801.81,0.0
Job_002,4,144.74,2130.658784226477,M8,761.81,90.0,851.81,0.0
Job_003,1,197.03,2487.1300064583497,M2,761.81,95.0,856.81,0.0
Job_001,8,83.42,1866.5513027385623,M7,768.81,72.0,840.81,0.0
Job_007,3,488.49,2373.0150434825196,M5,768.81,74.0,842.81,0.0
Job_005,8,302.58,2036.7626003104447,M4,811.81,6.0,817.81,0.0
Job_007,4,488.49,2373.0150434825196,M4,842.81,32.0,874.81,0.0
Job_001,9,83.42,1866.5513027385623,M8,851.81,30.0,881.81,0.0
Job_002,5,144.74,2130.658784226477,M5,851.81,10.0,861.81,0.0
Job_003,2,197.03,2487.1300064583497,M0,856.81,71.0,927.81,0.0
Job_002,6,144.74,2130.658784226477,M7,861.81,12.0,873.81,0.0
Job_005,9,302.58,2036.7626003104447,M7,873.81,25.0,898.81,0.0
Job_007,5,488.49,2373.0150434825196,M6,874.81,88.0,962.81,0.0
Job_003,3,197.03,2487.1300064583497,M4,927.81,99.0,1026.81,0.0
Job_009,1,740.79,2628.8113793702423,M0,927.81,13.0,940.81,0.0
Job_009,2,740.79,2628.8113793702423,M2,940.81,61.0,1001.81,0.0
Job_002,7,144.74,2130.658784226477,M6,962.81,89.0,1051.81,0.0
Job_007,6,488.49,2373.0150434825196,M8,962.81,19.0,981.81,0.0
Job_007,7,488.49,2373.0150434825196,M9,981.81,48.0,1029.81,0.0
Job_010,0,845.0,2729.5250434825193,M2,1001.81,31.0,1032.81,0.0
Job_007,8,488.49,2373.0150434825196,M7,1029.81,36.0,1065.81,0.0
Job_002,8,144.74,2130.658784226477,M9,1051.81,45.0,1096.81,0.0
Job_003,4,197.03,2487.1300064583497,M6,1051.81,9.0,1060.81,0.0
Job_003,5,197.03,2487.1300064583497,M8,1060.81,52.0,1112.81,0.0
Job_009,3,740.79,2628.8113793702423,M6,1060.81,7.0,1067.81,0.0
Job_007,9,488.49,2373.0150434825196,M3,1065.81,79.0,1144.81,0.0
Job_002,9,144.74,2130.658784226477,M4,1096.81,33.0,1129.81,0.0
Job_003,6,197.03,2487.1300064583497,M7,1112.81,85.0,1197.81,0.0
Job_009,4,740.79,2628.8113793702423,M8,1112.81,64.0,1176.81,0.0
Job_015,0,1134.27,2508.3300038750094,M2,1134.27,14.0,1148.27,0.0
Job_015,1,1134.27,2508.3300038750094,M0,1148.27,6.0,1154.27,0.0
Job_012,0,950.74,2733.871302738562,M0,1154.27,43.0,1197.27,0.0
Job_015,2,1134.27,2508.3300038750094,M1,1154.27,22.0,1176.27,0.0
Job_015,3,1134.27,2508.3300038750094,M5,1176.27,61.0,1237.27,0.0
Job_012,1,950.74,2733.871302738562,M2,1197.27,90.0,1287.27,0.0
Job_003,7,197.03,2487.1300064583497,M3,1197.81,98.0,1295.81,0.0
Job_017,0,1254.35,2635.402675650455,M0,1254.35,29.0,1283.35,0.0
