Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_062,5,4622.58,6356.762600310445,M9,7211.06,72.0,7283.06,926.3
Job_069,1,5270.74,7053.871302738562,M2,7234.89,90.0,7324.89,271.02
Job_058,5,4403.42,6186.551302738562,M1,7247.38,28.0,7275.38,1088.83
Job_072,4,5454.27,6828.33000387501,M3,7251.65,26.0,7277.65,449.32
Job_065,1,5028.67,7115.9825249704345,M1,7275.38,69.0,7344.38,228.4
Job_062,6,4622.58,6356.762600310445,M0,7283.06,47.0,7330.06,973.3
Job_052,4,4008.21,6298.31000645835,M6,7285.75,9.0,7294.75,996.44
Job_072,5,5454.27,6828.33000387501,M4,7285.75,69.0,7354.75,526.42
Job_052,5,4008.21,6298.31000645835,M8,7294.75,52.0,7346.75,1048.44
Job_058,6,4403.42,6186.551302738562,M6,7294.75,46.0,7340.75,1154.2
Job_076,0,5760.0,7141.052675650455,M0,7330.06,29.0,7359.06,218.01
Job_058,7,4403.42,6186.551302738562,M5,7340.75,46.0,7386.75,1200.2
Job_062,7,4622.58,6356.762600310445,M6,7340.75,65.0,7405.75,1048.99
Job_056,8,4234.37,6122.391379370242,M4,7354.75,90.0,7444.75,1322.36
Job_072,6,5454.27,6828.33000387501,M8,7354.75,21.0,7375.75,547.42
Job_068,0,5214.99,7302.302524970434,M0,7359.06,76.0,7435.06,132.76
Job_076,1,5760.0,7141.052675650455,M1,7359.06,78.0,7437.06,296.01
Job_059,5,4464.74,6450.658784226477,M5,7386.75,10.0,7396.75,946.09
Job_059,6,4464.74,6450.658784226477,M7,7396.75,12.0,7408.75,958.09
Job_052,6,4008.21,6298.31000645835,M7,7408.75,85.0,7493.75,1195.44
Job_059,7,4464.74,6450.658784226477,M6,7408.75,89.0,7497.75,1047.09
Job_070,1,5443.32,7177.502600310445,M1,7437.06,2.0,7439.06,261.56
Job_076,2,5760.0,7141.052675650455,M2,7437.06,9.0,7446.06,305.01
Job_073,0,5455.63,7441.548784226477,M1,7439.06,91.0,7530.06,88.51
Job_062,8,4622.58,6356.762600310445,M4,7444.75,6.0,7450.75,1093.99
Job_080,0,5993.63,7367.69000387501,M2,7446.06,14.0,7460.06,92.37
Job_064,4,4808.49,6693.015043482519,M4,7450.75,32.0,7482.75,789.73
Job_080,1,5993.63,7367.69000387501,M0,7460.06,6.0,7466.06,98.37
Job_052,7,4008.21,6298.31000645835,M3,7493.75,98.0,7591.75,1293.44
Job_056,9,4234.37,6122.391379370242,M7,7493.75,45.0,7538.75,1416.36
Job_064,5,4808.49,6693.015043482519,M6,7497.75,88.0,7585.75,892.73
Job_068,1,5214.99,7302.302524970434,M1,7530.06,69.0,7599.06,296.76
Job_073,1,5455.63,7441.548784226477,M0,7530.06,85.0,7615.06,173.51
Job_058,8,4403.42,6186.551302738562,M7,7538.75,72.0,7610.75,1424.2
Job_080,2,5993.63,7367.69000387501,M1,7599.06,22.0,7621.06,253.37
Job_058,9,4403.42,6186.551302738562,M8,7610.75,30.0,7640.75,1454.2
Job_072,7,5454.27,6828.33000387501,M7,7610.75,49.0,7659.75,831.42
Job_082,0,6100.81,7555.285729292631,M1,7621.06,46.0,7667.06,111.77
Job_064,6,4808.49,6693.015043482519,M8,7640.75,19.0,7659.75,966.73
Job_060,5,4517.03,6807.130006458349,M8,7659.75,52.0,7711.75,904.62
Job_062,9,4622.58,6356.762600310445,M7,7659.75,25.0,7684.75,1327.99
Job_072,8,5454.27,6828.33000387501,M9,7659.75,72.0,7731.75,903.42
Job_071,0,5448.21,7738.31000645835,M1,7667.06,81.0,7748.06,9.75
Job_082,1,6100.81,7555.285729292631,M0,7667.06,37.0,7704.06,148.77
Job_060,6,4517.03,6807.130006458349,M7,7711.75,85.0,7796.75,989.62
Job_059,8,4464.74,6450.658784226477,M9,7731.75,45.0,7776.75,1326.09
