Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_033,3,2568.21,4858.31000645835,M4,4325.61,99.0,4424.61,0.0
Job_035,4,2575.63,4561.548784226477,M8,4336.81,90.0,4426.81,0.0
Job_044,3,3220.81,4675.285729292631,M2,4336.81,13.0,4349.81,0.0
Job_043,0,3182.58,4916.762600310445,M2,4349.81,84.0,4433.81,0.0
Job_044,4,3220.81,4675.285729292631,M6,4349.81,32.0,4381.81,0.0
Job_040,1,3024.74,5010.658784226477,M0,4351.81,85.0,4436.81,0.0
Job_032,9,2563.32,4297.502600310445,M7,4352.05,25.0,4377.05,79.55
Job_037,6,2794.37,4682.391379370242,M5,4355.94,47.0,4402.94,0.0
Job_042,7,3113.63,4487.69000387501,M7,4377.05,49.0,4426.05,0.0
Job_044,5,3220.81,4675.285729292631,M5,4402.94,21.0,4423.94,0.0
Job_044,6,3220.81,4675.285729292631,M9,4423.94,32.0,4455.94,0.0
Job_030,8,2334.99,4422.302524970434,M4,4424.61,26.0,4450.61,28.31
Job_033,4,2568.21,4858.31000645835,M6,4424.61,9.0,4433.61,0.0
Job_035,5,2575.63,4561.548784226477,M5,4426.81,10.0,4436.81,0.0
Job_033,5,2568.21,4858.31000645835,M8,4433.61,52.0,4485.61,0.0
Job_043,1,3182.58,4916.762600310445,M1,4433.81,2.0,4435.81,0.0
Job_045,0,3368.49,5253.015043482519,M2,4433.81,31.0,4464.81,0.0
Job_039,5,2963.42,4746.551302738562,M1,4435.81,28.0,4463.81,0.0
Job_035,6,2575.63,4561.548784226477,M7,4436.81,12.0,4448.81,0.0
Job_037,7,2794.37,4682.391379370242,M3,4436.81,52.0,4488.81,0.0
Job_043,2,3182.58,4916.762600310445,M5,4436.81,52.0,4488.81,0.0
Job_035,7,2575.63,4561.548784226477,M6,4448.81,89.0,4537.81,0.0
Job_042,8,3113.63,4487.69000387501,M9,4455.94,72.0,4527.94,40.25
Job_041,1,3077.03,5367.13000645835,M2,4464.81,95.0,4559.81,0.0
Job_045,1,3368.49,5253.015043482519,M0,4464.81,86.0,4550.81,0.0
Job_047,0,3620.79,5508.811379370242,M1,4465.81,85.0,4550.81,0.0
Job_044,7,3220.81,4675.285729292631,M8,4485.61,89.0,4574.61,0.0
Job_043,3,3182.58,4916.762600310445,M3,4488.81,95.0,4583.81,0.0
Job_033,6,2568.21,4858.31000645835,M7,4489.61,85.0,4574.61,0.0
