Job,Operation,Arrival,Machine,Start,Simulated Processing Time,Flow time,End
Job_000,0,0.0,M0,0.0,13.2,13.2,13.2
Job_000,1,0.0,M1,29.0,96.46,125.46,125.46
Job_000,2,0.0,M2,125.46,7.61,133.07,133.07
Job_000,3,0.0,M3,133.07,25.68,158.75,158.75
Job_000,4,0.0,M4,158.75,67.36,226.11,226.11
Job_000,5,0.0,M5,226.11,16.36,242.47,242.47
Job_000,6,0.0,M6,242.47,53.88,296.35,296.35
Job_000,7,0.0,M7,296.35,112.92,409.27,409.27
Job_000,8,0.0,M8,409.27,41.16,450.43,450.43
Job_000,9,0.0,M9,450.43,12.0,462.43,462.43
Job_001,0,83.42,M0,83.42,35.33,35.33,118.75
Job_001,1,83.42,M2,252.8,92.59,261.96999999999997,345.39
Job_001,2,83.42,M4,515.78,77.35,509.71,593.13
Job_001,3,83.42,M9,660.91,11.8,589.2900000000001,672.71
Job_001,4,83.42,M3,746.79,79.26,742.63,826.05
Job_001,5,83.42,M1,969.61,37.94,924.13,1007.55
Job_001,6,83.42,M6,1218.23,53.47,1188.28,1271.7
Job_001,7,83.42,M5,1341.89,37.27,1295.74,1379.16
Job_001,8,83.42,M7,1438.24,95.98,1450.8,1534.22
Job_002,0,144.74,M1,423.63,97.24,376.13,520.87
Job_002,1,144.74,M0,520.87,143.05,519.18,663.92
Job_002,2,144.74,M3,714.31,32.48,602.05,746.79
Job_002,3,144.74,M2,746.79,85.66,687.71,832.45
Job_002,4,144.74,M8,832.45,110.2,797.91,942.65
Job_002,5,144.74,M5,942.65,12.07,809.98,954.72
Job_002,6,144.74,M7,954.72,9.23,819.21,963.95
Job_002,7,144.74,M6,1013.79,204.44,1073.49,1218.23
Job_002,8,144.74,M9,1218.23,48.67,1122.16,1266.9
Job_002,9,144.74,M4,1266.9,36.41,1158.57,1303.31
Job_003,0,197.03,M1,522.63,87.02,412.62,609.65
Job_003,1,197.03,M2,832.45,65.77,701.19,898.22
Job_003,2,197.03,M0,955.42,90.69,849.0799999999999,1046.11
Job_003,3,197.03,M4,1046.11,51.99,901.0699999999999,1098.1
Job_003,4,197.03,M6,1271.7,11.81,1086.48,1283.51
Job_003,5,197.03,M8,1283.51,43.23,1129.71,1326.74
Job_003,6,197.03,M7,1326.74,111.5,1241.21,1438.24
Job_003,7,197.03,M3,1438.24,123.4,1364.6100000000001,1561.64
Job_004,0,233.63,M2,233.63,19.17,19.170000000000016,252.8
Job_004,1,233.63,M0,252.8,7.8,26.970000000000027,260.6
Job_004,2,233.63,M1,260.6,18.2,45.170000000000016,278.8
Job_004,3,233.63,M5,278.8,46.98,92.14999999999998,325.78
Job_004,4,233.63,M3,336.63,51.3,154.3,387.93
Job_004,5,233.63,M4,387.93,127.85,282.15,515.78
Job_004,6,233.63,M8,515.78,14.88,297.03,530.66
Job_004,7,233.63,M7,530.66,61.47,358.5,592.13
Job_004,8,233.63,M9,592.13,68.78,427.28,660.91
Job_004,9,233.63,M6,660.91,64.52,491.79999999999995,725.43
Job_005,0,302.58,M2,345.39,88.8,131.61,434.19
Job_005,1,302.58,M1,520.87,1.76,220.05,522.63
Job_005,2,302.58,M5,522.63,100.49,320.54,623.12
Job_005,3,302.58,M3,623.12,91.19,411.72999999999996,714.31
Job_005,4,302.58,M8,744.58,58.97,500.96999999999997,803.55
Job_005,5,302.58,M9,803.55,74.25,575.22,877.8
Job_005,6,302.58,M0,877.8,77.62,652.8399999999999,955.42
Job_005,7,302.58,M6,955.42,58.37,711.21,1013.79
Job_005,8,302.58,M4,1013.79,4.54,715.75,1018.33
Job_005,9,302.58,M7,1018.33,46.41,762.1600000000001,1064.74
Job_006,0,340.81,M1,340.81,33.84,33.839999999999975,374.65
Job_006,1,340.81,M0,386.81,30.22,76.21999999999997,417.03
Job_006,2,340.81,M3,423.81,60.25,143.25,484.06
Job_006,3,340.81,M2,484.81,11.51,155.51,496.32
Job_006,4,340.81,M6,497.81,38.94,195.94,536.75
Job_006,5,340.81,M5,623.12,22.72,305.03000000000003,645.84
Job_006,6,340.81,M9,672.71,30.47,362.36999999999995,703.18
Job_006,7,340.81,M8,703.18,41.4,403.77000000000004,744.58
Job_006,8,340.81,M7,744.58,19.49,423.26000000000005,764.07
Job_006,9,340.81,M4,764.07,61.51,484.77000000000004,825.58
Job_007,0,488.49,M2,497.81,20.85,30.16999999999996,518.66
Job_007,1,488.49,M0,663.92,113.01,288.43999999999994,776.93
Job_007,2,488.49,M1,912.78,56.83,481.12,969.61
Job_007,3,488.49,M5,969.61,88.4,569.52,1058.01
Job_007,4,488.49,M4,1098.1,50.86,660.47,1148.96
Job_007,5,488.49,M6,1283.51,54.75,849.77,1338.26
Job_007,6,488.49,M8,1338.26,17.1,866.8699999999999,1355.36
Job_007,7,488.49,M9,1355.36,32.77,899.6400000000001,1388.13
Job_008,0,708.67,M0,1434.29,70.73,796.35,1505.02
