Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_044,1,3220.81,4675.285729292631,M0,4320.0,37.0,4357.0,0.0
Job_042,6,3113.63,4487.69000387501,M8,4323.99,21.0,4344.99,0.0
Job_038,7,2880.0,4261.052675650455,M7,4345.52,56.0,4401.52,140.47
Job_041,0,3077.03,5367.13000645835,M1,4351.03,81.0,4432.03,0.0
Job_032,6,2563.32,4297.502600310445,M0,4357.0,47.0,4404.0,106.5
Job_044,2,3220.81,4675.285729292631,M3,4357.0,61.0,4418.0,0.0
Job_038,8,2880.0,4261.052675650455,M8,4401.52,44.0,4445.52,184.47
Job_042,7,3113.63,4487.69000387501,M7,4401.52,49.0,4450.52,0.0
Job_032,7,2563.32,4297.502600310445,M6,4404.0,65.0,4469.0,171.5
Job_037,1,2794.37,4682.391379370242,M0,4404.0,13.0,4417.0,0.0
Job_039,0,2963.42,4746.551302738562,M0,4417.0,43.0,4460.0,0.0
Job_047,0,3620.79,5508.811379370242,M1,4432.03,85.0,4517.03,0.0
Job_030,5,2334.99,4422.302524970434,M9,4446.8,11.0,4457.8,35.5
Job_044,3,3220.81,4675.285729292631,M2,4446.8,13.0,4459.8,0.0
Job_042,8,3113.63,4487.69000387501,M9,4457.8,72.0,4529.8,42.11
Job_035,3,2575.63,4561.548784226477,M2,4459.8,74.0,4533.8,0.0
Job_040,1,3024.74,5010.658784226477,M0,4460.0,85.0,4545.0,0.0
Job_030,6,2334.99,4422.302524970434,M6,4469.0,40.0,4509.0,86.7
Job_032,8,2563.32,4297.502600310445,M4,4469.0,6.0,4475.0,177.5
Job_032,9,2563.32,4297.502600310445,M7,4475.0,25.0,4500.0,202.5
Job_030,7,2334.99,4422.302524970434,M7,4509.0,89.0,4598.0,175.7
Job_044,4,3220.81,4675.285729292631,M6,4509.0,32.0,4541.0,0.0
Job_038,9,2880.0,4261.052675650455,M9,4529.8,21.0,4550.8,289.75
Job_035,4,2575.63,4561.548784226477,M8,4533.8,90.0,4623.8,62.25
Job_045,0,3368.49,5253.015043482519,M2,4533.8,31.0,4564.8,0.0
Job_039,1,2963.42,4746.551302738562,M2,4564.8,90.0,4654.8,0.0
Job_045,1,3368.49,5253.015043482519,M0,4564.8,86.0,4650.8,0.0
Job_035,5,2575.63,4561.548784226477,M5,4623.8,10.0,4633.8,72.25
Job_035,6,2575.63,4561.548784226477,M7,4633.8,12.0,4645.8,84.25
Job_044,5,3220.81,4675.285729292631,M5,4633.8,21.0,4654.8,0.0
Job_055,0,4134.35,5515.402675650455,M0,4650.8,29.0,4679.8,0.0
Job_043,0,3182.58,4916.762600310445,M2,4654.8,84.0,4738.8,0.0
Job_044,6,3220.81,4675.285729292631,M9,4654.8,32.0,4686.8,11.51
Job_037,2,2794.37,4682.391379370242,M2,4738.8,61.0,4799.8,117.41
Job_043,1,3182.58,4916.762600310445,M1,4738.8,2.0,4740.8,0.0
Job_043,2,3182.58,4916.762600310445,M5,4740.8,52.0,4792.8,0.0
Job_045,2,3368.49,5253.015043482519,M1,4740.8,46.0,4786.8,0.0
Job_039,2,2963.42,4746.551302738562,M4,4765.8,75.0,4840.8,94.25
Job_055,1,4134.35,5515.402675650455,M1,4786.8,78.0,4864.8,0.0
Job_045,3,3368.49,5253.015043482519,M5,4792.8,74.0,4866.8,0.0
Job_033,1,2568.21,4858.31000645835,M2,4799.8,95.0,4894.8,36.49
Job_037,3,2794.37,4682.391379370242,M6,4799.8,7.0,4806.8,124.41
Job_037,4,2794.37,4682.391379370242,M8,4806.8,64.0,4870.8,188.41
Job_042,9,3113.63,4487.69000387501,M6,4806.8,53.0,4859.8,372.11
Job_030,8,2334.99,4422.302524970434,M4,4840.8,26.0,4866.8,444.5
Job_035,7,2575.63,4561.548784226477,M6,4859.8,89.0,4948.8,387.25
Job_045,4,3368.49,5253.015043482519,M4,4866.8,32.0,4898.8,0.0
Job_040,2,3024.74,5010.658784226477,M3,4869.8,39.0,4908.8,0.0
Job_030,9,2334.99,4422.302524970434,M8,4870.8,74.0,4944.8,522.5
Job_037,5,2794.37,4682.391379370242,M9,4870.8,76.0,4946.8,264.41
Job_053,0,4014.27,5388.330003875009,M2,4894.8,14.0,4908.8,0.0
Job_040,3,3024.74,5010.658784226477,M2,4908.8,74.0,4982.8,0.0
Job_053,1,4014.27,5388.330003875009,M0,4908.8,6.0,4914.8,0.0
Job_047,1,3620.79,5508.811379370242,M0,4914.8,13.0,4927.8,0.0
Job_053,2,4014.27,5388.330003875009,M1,4914.8,22.0,4936.8,0.0
Job_033,2,2568.21,4858.31000645835,M0,4927.8,71.0,4998.8,140.49
Job_054,0,4015.63,6001.548784226477,M1,4936.8,91.0,5027.8,0.0
Job_044,7,3220.81,4675.285729292631,M8,4944.8,89.0,5033.8,358.51
Job_037,6,2794.37,4682.391379370242,M5,4946.8,47.0,4993.8,311.41
Job_039,3,2963.42,4746.551302738562,M9,4946.8,11.0,4957.8,211.25
Job_035,8,2575.63,4561.548784226477,M9,4957.8,45.0,5002.8,441.25
Job_039,4,2963.42,4746.551302738562,M3,4957.8,69.0,5026.8,280.25
Job_041,1,3077.03,5367.13000645835,M2,4982.8,95.0,5077.8,0.0
Job_053,3,4014.27,5388.330003875009,M5,4993.8,61.0,5054.8,0.0
Job_033,3,2568.21,4858.31000645835,M4,4998.8,99.0,5097.8,239.49
Job_046,0,3588.67,5675.9825249704345,M0,4998.8,76.0,5074.8,0.0
Job_043,3,3182.58,4916.762600310445,M3,5026.8,95.0,5121.8,205.04
Job_039,5,2963.42,4746.551302738562,M1,5027.8,28.0,5055.8,309.25
Job_040,4,3024.74,5010.658784226477,M8,5033.8,90.0,5123.8,113.14
Job_044,8,3220.81,4675.285729292631,M7,5033.8,30.0,5063.8,388.51
Job_046,1,3588.67,5675.9825249704345,M1,5074.8,69.0,5143.8,0.0
Job_041,2,3077.03,5367.13000645835,M0,5077.8,71.0,5148.8,0.0
Job_047,2,3620.79,5508.811379370242,M2,5077.8,61.0,5138.8,0.0
Job_033,4,2568.21,4858.31000645835,M6,5097.8,9.0,5106.8,248.49
Job_044,9,3220.81,4675.285729292631,M4,5097.8,55.0,5152.8,477.51
Job_039,6,2963.42,4746.551302738562,M6,5106.8,46.0,5152.8,406.25
Job_033,5,2568.21,4858.31000645835,M8,5123.8,52.0,5175.8,317.49
Job_040,5,3024.74,5010.658784226477,M5,5123.8,10.0,5133.8,123.14
Job_040,6,3024.74,5010.658784226477,M7,5133.8,12.0,5145.8,135.14
Job_055,2,4134.35,5515.402675650455,M2,5138.8,9.0,5147.8,0.0
Job_051,0,4003.32,5737.502600310445,M2,5147.8,84.0,5231.8,0.0
Job_055,3,4134.35,5515.402675650455,M3,5147.8,36.0,5183.8,0.0
Job_050,0,3830.74,5613.871302738562,M0,5148.8,43.0,5191.8,0.0
Job_035,9,2575.63,4561.548784226477,M4,5152.8,33.0,5185.8,624.25
Job_039,7,2963.42,4746.551302738562,M5,5152.8,46.0,5198.8,452.25
Job_045,5,3368.49,5253.015043482519,M6,5152.8,88.0,5240.8,0.0
Job_033,6,2568.21,4858.31000645835,M7,5175.8,85.0,5260.8,402.49
Job_053,4,4014.27,5388.330003875009,M3,5183.8,26.0,5209.8,0.0
Job_055,4,4134.35,5515.402675650455,M4,5185.8,49.0,5234.8,0.0
Job_049,0,3774.99,5862.302524970434,M0,5191.8,76.0,5267.8,0.0
Job_037,7,2794.37,4682.391379370242,M3,5209.8,52.0,5261.8,579.41
Job_048,0,3725.0,5609.525043482519,M2,5231.8,31.0,5262.8,0.0
Job_053,5,4014.27,5388.330003875009,M4,5234.8,69.0,5303.8,0.0
Job_055,5,4134.35,5515.402675650455,M5,5234.8,11.0,5245.8,0.0
Job_040,7,3024.74,5010.658784226477,M6,5240.8,89.0,5329.8,319.14
Job_045,6,3368.49,5253.015043482519,M8,5240.8,19.0,5259.8,6.78
Job_043,4,3182.58,4916.762600310445,M8,5259.8,48.0,5307.8,391.04
Job_045,7,3368.49,5253.015043482519,M9,5259.8,48.0,5307.8,54.78
Job_046,2,3588.67,5675.9825249704345,M3,5261.8,76.0,5337.8,0.0
Job_050,1,3830.74,5613.871302738562,M2,5262.8,90.0,5352.8,0.0
Job_057,0,4320.0,5701.052675650455,M0,5267.8,29.0,5296.8,0.0
