Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_029,0,2285.0,4169.525043482519,M2,2880.0,31.0,2911.0,0.0
Job_026,4,1928.49,3813.01504348252,M4,2882.36,32.0,2914.36,0.0
Job_034,0,2574.27,3948.3300038750094,M2,2911.0,14.0,2925.0,0.0
Job_018,8,1354.37,3242.3913793702422,M4,2914.36,90.0,3004.36,0.0
Job_026,5,1928.49,3813.01504348252,M6,2914.36,88.0,3002.36,0.0
Job_021,3,1584.74,3570.658784226477,M2,2925.0,74.0,2999.0,0.0
Job_028,1,2180.79,4068.8113793702423,M0,2933.57,13.0,2946.57,0.0
Job_024,6,1742.58,3476.7626003104447,M0,2946.57,47.0,2993.57,0.0
Job_014,7,1128.21,3418.3100064583496,M3,2963.41,98.0,3061.41,0.0
Job_034,1,2574.27,3948.3300038750094,M0,2993.57,6.0,2999.57,0.0
Job_028,2,2180.79,4068.8113793702423,M2,2999.0,61.0,3060.0,0.0
Job_034,2,2574.27,3948.3300038750094,M1,2999.57,22.0,3021.57,0.0
Job_036,0,2694.35,4075.402675650455,M0,2999.57,29.0,3028.57,0.0
Job_026,6,1928.49,3813.01504348252,M8,3002.36,19.0,3021.36,0.0
Job_018,9,1354.37,3242.3913793702422,M7,3004.36,45.0,3049.36,0.0
Job_022,3,1637.03,3927.1300064583497,M4,3004.36,99.0,3103.36,0.0
Job_024,7,1742.58,3476.7626003104447,M6,3004.64,65.0,3069.64,0.0
Job_021,4,1584.74,3570.658784226477,M8,3021.36,90.0,3111.36,0.0
Job_026,7,1928.49,3813.01504348252,M9,3021.36,48.0,3069.36,0.0
Job_029,1,2285.0,4169.525043482519,M0,3028.57,86.0,3114.57,0.0
Job_036,1,2694.35,4075.402675650455,M1,3028.57,78.0,3106.57,0.0
Job_034,3,2574.27,3948.3300038750094,M5,3050.36,61.0,3111.36,0.0
Job_014,8,1128.21,3418.3100064583496,M9,3069.36,22.0,3091.36,0.0
Job_026,8,1928.49,3813.01504348252,M7,3073.36,36.0,3109.36,0.0
Job_022,4,1637.03,3927.1300064583497,M6,3103.36,9.0,3112.36,0.0
Job_024,8,1742.58,3476.7626003104447,M4,3103.36,6.0,3109.36,0.0
Job_036,2,2694.35,4075.402675650455,M2,3106.57,9.0,3115.57,0.0
Job_024,9,1742.58,3476.7626003104447,M7,3109.36,25.0,3134.36,0.0
Job_021,5,1584.74,3570.658784226477,M5,3111.36,10.0,3121.36,0.0
Job_022,5,1637.03,3927.1300064583497,M8,3112.36,52.0,3164.36,0.0
Job_029,2,2285.0,4169.525043482519,M1,3114.57,46.0,3160.57,0.0
Job_031,0,2390.74,4173.871302738562,M0,3114.57,43.0,3157.57,0.0
Job_014,9,1128.21,3418.3100064583496,M5,3121.36,43.0,3164.36,0.0
Job_021,6,1584.74,3570.658784226477,M7,3134.36,12.0,3146.36,0.0
Job_026,9,1928.49,3813.01504348252,M3,3136.64,79.0,3215.64,0.0
Job_027,0,2148.67,4235.9825249704345,M0,3157.57,76.0,3233.57,0.0
Job_031,1,2390.74,4173.871302738562,M2,3157.57,90.0,3247.57,0.0
Job_028,3,2180.79,4068.8113793702423,M6,3157.64,7.0,3164.64,0.0
Job_022,6,1637.03,3927.1300064583497,M7,3164.36,85.0,3249.36,0.0
Job_021,7,1584.74,3570.658784226477,M6,3164.64,89.0,3253.64,0.0
Job_028,4,2180.79,4068.8113793702423,M8,3164.64,64.0,3228.64,0.0
Job_036,3,2694.35,4075.402675650455,M3,3215.64,36.0,3251.64,0.0
Job_028,5,2180.79,4068.8113793702423,M9,3228.64,76.0,3304.64,0.0
Job_027,1,2148.67,4235.9825249704345,M1,3233.57,69.0,3302.57,0.0
Job_038,0,2880.0,4261.052675650455,M0,3233.57,29.0,3262.57,0.0
Job_031,2,2390.74,4173.871302738562,M4,3247.57,75.0,3322.57,0.0
Job_032,0,2563.32,4297.502600310445,M2,3247.57,84.0,3331.57,0.0
Job_022,7,1637.03,3927.1300064583497,M3,3251.64,98.0,3349.64,0.0
Job_030,0,2334.99,4422.302524970434,M0,3262.57,76.0,3338.57,0.0
Job_038,1,2880.0,4261.052675650455,M1,3302.57,78.0,3380.57,0.0
Job_021,8,1584.74,3570.658784226477,M9,3304.64,45.0,3349.64,0.0
Job_028,6,2180.79,4068.8113793702423,M5,3314.64,47.0,3361.64,0.0
Job_036,4,2694.35,4075.402675650455,M4,3322.57,49.0,3371.57,0.0
Job_022,8,1637.03,3927.1300064583497,M9,3349.64,22.0,3371.64,0.0
Job_034,4,2574.27,3948.3300038750094,M3,3349.64,26.0,3375.64,0.0
Job_021,9,1584.74,3570.658784226477,M4,3371.57,33.0,3404.57,0.0
Job_036,5,2694.35,4075.402675650455,M5,3371.57,11.0,3382.57,0.0
Job_031,3,2390.74,4173.871302738562,M9,3371.64,11.0,3382.64,0.0
Job_028,7,2180.79,4068.8113793702423,M3,3375.64,52.0,3427.64,0.0
Job_038,2,2880.0,4261.052675650455,M2,3380.57,9.0,3389.57,0.0
Job_022,9,1637.03,3927.1300064583497,M5,3382.57,43.0,3425.57,0.0
Job_036,6,2694.35,4075.402675650455,M6,3382.57,62.0,3444.57,0.0
Job_034,5,2574.27,3948.3300038750094,M4,3404.57,69.0,3473.57,0.0
Job_029,3,2285.0,4169.525043482519,M5,3425.57,74.0,3499.57,0.0
Job_031,4,2390.74,4173.871302738562,M3,3427.64,69.0,3496.64,0.0
Job_036,7,2694.35,4075.402675650455,M7,3444.57,56.0,3500.57,0.0
Job_034,6,2574.27,3948.3300038750094,M8,3473.57,21.0,3494.57,0.0
Job_027,2,2148.67,4235.9825249704345,M3,3496.64,76.0,3572.64,0.0
Job_031,5,2390.74,4173.871302738562,M1,3496.64,28.0,3524.64,0.0
Job_029,4,2285.0,4169.525043482519,M4,3499.57,32.0,3531.57,0.0
Job_034,7,2574.27,3948.3300038750094,M7,3500.57,49.0,3549.57,0.0
Job_036,8,2694.35,4075.402675650455,M8,3500.57,44.0,3544.57,0.0
Job_030,1,2334.99,4422.302524970434,M1,3524.64,69.0,3593.64,0.0
Job_031,6,2390.74,4173.871302738562,M6,3524.64,46.0,3570.64,0.0
Job_028,8,2180.79,4068.8113793702423,M4,3531.57,90.0,3621.57,0.0
Job_034,8,2574.27,3948.3300038750094,M9,3549.57,72.0,3621.57,0.0
