Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_000,0,0,1244,M0,0,29,29,-1215,0,1215
Job_000,1,0,1244,M1,29,78,107,-1137,0,1137
Job_001,0,80,1687,M0,80,43,123,-1564,0,1564
Job_000,2,0,1244,M2,107,9,116,-1128,0,1128
Job_000,3,0,1244,M3,116,36,152,-1092,0,1092
Job_001,1,80,1687,M2,123,90,213,-1474,0,1474
Job_002,0,140,1929,M1,140,91,231,-1698,0,1698
Job_000,4,0,1244,M4,152,49,201,-1043,0,1043
Job_000,5,0,1244,M5,201,11,212,-1032,0,1032
Job_000,6,0,1244,M6,212,62,274,-970,0,970
Job_001,2,80,1687,M4,213,75,288,-1399,0,1399
Job_004,0,226,1465,M2,226,14,240,-1225,0,1225
Job_002,1,140,1929,M0,231,85,316,-1613,0,1613
Job_003,0,191,2254,M1,231,81,312,-1942,0,1942
Job_000,7,0,1244,M7,274,56,330,-914,0,914
Job_001,3,80,1687,M9,288,11,299,-1388,0,1388
Job_005,0,293,1856,M2,293,84,377,-1479,0,1479
Job_001,4,80,1687,M3,299,69,368,-1319,0,1319
Job_004,1,226,1465,M0,316,6,322,-1143,0,1143
Job_004,2,226,1465,M1,322,22,344,-1121,0,1121
Job_000,8,0,1244,M8,330,44,374,-870,0,870
Job_004,3,226,1465,M5,344,61,405,-1060,0,1060
Job_006,0,330,1641,M1,344,46,390,-1251,0,1251
Job_002,2,140,1929,M3,368,39,407,-1522,0,1522
Job_003,1,191,2254,M2,377,95,472,-1782,0,1782
Job_005,1,293,1856,M1,390,2,392,-1464,0,1464
Job_006,1,330,1641,M0,390,37,427,-1214,0,1214
Job_001,5,80,1687,M1,392,28,420,-1267,0,1267
Job_005,2,293,1856,M5,405,52,457,-1399,0,1399
Job_004,4,226,1465,M3,407,26,433,-1032,0,1032
Job_001,6,80,1687,M6,420,46,466,-1221,0,1221
Job_004,5,226,1465,M4,433,69,502,-963,0,963
Job_005,3,293,1856,M3,457,95,552,-1304,0,1304
Job_001,7,80,1687,M5,466,46,512,-1175,0,1175
Job_002,3,140,1929,M2,472,74,546,-1383,0,1383
Job_003,2,191,2254,M0,472,71,543,-1711,0,1711
Job_004,6,226,1465,M8,502,21,523,-942,0,942
Job_001,8,80,1687,M7,512,72,584,-1103,0,1103
Job_003,3,191,2254,M4,543,99,642,-1612,0,1612
Job_007,0,473,2171,M2,546,31,577,-1594,0,1594
Job_005,4,293,1856,M8,552,48,600,-1256,0,1256
Job_006,2,330,1641,M3,552,61,613,-1028,0,1028
Job_007,1,473,2171,M0,577,86,663,-1508,0,1508
Job_004,7,226,1465,M7,584,49,633,-832,0,832
Job_005,5,293,1856,M9,600,72,672,-1184,0,1184
Job_006,3,330,1641,M2,613,13,626,-1015,0,1015
Job_003,4,191,2254,M6,642,9,651,-1603,0,1603
Job_003,5,191,2254,M8,651,52,703,-1551,0,1551
Job_006,4,330,1641,M6,651,32,683,-958,0,958
Job_007,2,473,2171,M1,663,46,709,-1462,0,1462
Job_004,8,226,1465,M9,672,72,744,-721,0,721
Job_005,6,293,1856,M0,672,47,719,-1137,0,1137
Job_006,5,330,1641,M5,683,21,704,-937,0,937
Job_002,4,140,1929,M8,703,90,793,-1136,0,1136
Job_003,6,191,2254,M7,703,85,788,-1466,0,1466
Job_007,3,473,2171,M5,709,74,783,-1388,0,1388
Job_009,0,718,2419,M1,718,85,803,-1616,0,1616
Job_005,7,293,1856,M6,719,65,784,-1072,0,1072
Job_008,0,687,2567,M0,719,76,795,-1772,0,1772
Job_006,6,330,1641,M9,744,32,776,-865,0,865
Job_007,4,473,2171,M4,783,32,815,-1356,0,1356
Job_003,7,191,2254,M3,788,98,886,-1368,0,1368
Job_002,5,140,1929,M5,793,10,803,-1126,0,1126
Job_006,7,330,1641,M8,793,89,882,-759,0,759
Job_002,6,140,1929,M7,803,12,815,-1114,0,1114
Job_008,1,687,2567,M1,803,69,872,-1695,0,1695
Job_009,1,718,2419,M0,803,13,816,-1603,0,1603
Job_005,8,293,1856,M4,815,6,821,-1035,0,1035
Job_007,5,473,2171,M6,815,88,903,-1268,0,1268
Job_010,0,819,2517,M2,819,31,850,-1667,0,1667
Job_009,2,718,2419,M2,850,61,911,-1508,0,1508
Job_011,0,867,2748,M0,867,76,943,-1805,0,1805
