Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_056,0,4192,5894,M1,4320,85,4405,-1489,0,1489
Job_052,3,3973,6037,M4,4321,99,4420,-1617,0,1617
Job_049,3,3747,5628,M5,4327,51,4378,-1250,0,1250
Job_055,2,4096,5340,M2,4327,9,4336,-1004,0,1004
Job_033,8,2533,4597,M9,4333,22,4355,-242,0,242
Job_053,4,3979,5218,M3,4333,26,4359,-859,0,859
Job_039,8,2960,4567,M7,4337,72,4409,-158,0,158
Job_057,0,4320,5564,M0,4351,29,4380,-1184,0,1184
Job_045,7,3353,5051,M9,4355,48,4403,-648,0,648
Job_041,7,3071,5134,M3,4359,98,4457,-677,0,677
Job_048,5,3699,5397,M6,4363,88,4451,-946,0,946
Job_047,6,3598,5299,M5,4378,47,4425,-874,0,874
Job_049,4,3747,5628,M2,4378,85,4463,-1165,0,1165
Job_058,0,4400,6007,M0,4400,43,4443,-1564,0,1564
Job_046,5,3567,5447,M9,4403,11,4414,-1033,0,1033
Job_050,5,3801,5408,M1,4405,28,4433,-975,0,975
Job_037,9,2752,4454,M7,4409,45,4454,0,0,0
Job_057,1,4320,5564,M1,4433,78,4511,-1053,0,1053
Job_056,1,4192,5894,M0,4443,13,4456,-1438,0,1438
Job_048,6,3699,5397,M8,4451,19,4470,-927,0,927
Job_050,6,3801,5408,M6,4451,46,4497,-911,0,911
Job_045,8,3353,5051,M7,4454,36,4490,-561,0,561
Job_041,8,3071,5134,M9,4457,22,4479,-655,0,655
Job_055,3,4096,5340,M3,4457,36,4493,-847,0,847
Job_056,2,4192,5894,M2,4463,61,4524,-1370,0,1370
Job_044,9,3210,4521,M4,4466,55,4521,0,0,0
Job_048,7,3699,5397,M9,4479,48,4527,-870,0,870
Job_051,3,3968,5531,M3,4493,95,4588,-943,0,943
Job_046,6,3567,5447,M6,4497,40,4537,-910,0,910
Job_050,7,3801,5408,M5,4497,46,4543,-865,0,865
Job_059,0,4460,6249,M1,4511,91,4602,-1647,0,1647
Job_053,5,3979,5218,M4,4521,69,4590,-628,0,628
Job_057,2,4320,5564,M2,4524,9,4533,-1031,0,1031
Job_048,8,3699,5397,M7,4527,36,4563,-834,0,834
Job_049,5,3747,5628,M9,4527,11,4538,-1090,0,1090
Job_058,1,4400,6007,M2,4533,90,4623,-1384,0,1384
Job_039,9,2960,4567,M8,4537,30,4567,0,0,0
Job_056,3,4192,5894,M6,4537,7,4544,-1350,0,1350
Job_049,6,3747,5628,M6,4544,40,4584,-1044,0,1044
Job_033,9,2533,4597,M5,4554,43,4597,0,0,0
Job_046,7,3567,5447,M7,4563,89,4652,-795,0,795
Job_056,4,4192,5894,M8,4567,64,4631,-1263,0,1263
Job_052,4,3973,6037,M6,4584,9,4593,-1444,0,1444
Job_047,7,3598,5299,M3,4588,52,4640,-659,0,659
Job_055,4,4096,5340,M4,4590,49,4639,-701,0,701
Job_059,1,4460,6249,M0,4602,85,4687,-1562,0,1562
Job_060,0,4511,6574,M1,4602,81,4683,-1891,0,1891
Job_061,0,4546,5785,M2,4623,14,4637,-1148,0,1148
Job_053,6,3979,5218,M8,4631,21,4652,-566,0,566
Job_056,5,4192,5894,M9,4631,76,4707,-1187,0,1187
Job_062,0,4613,6176,M2,4637,84,4721,-1455,0,1455
Job_055,5,4096,5340,M5,4639,11,4650,-690,0,690
Job_058,2,4400,6007,M4,4639,75,4714,-1293,0,1293
Job_054,2,3980,5770,M3,4640,39,4679,-1091,0,1091
Job_055,6,4096,5340,M6,4650,62,4712,-628,0,628
Job_051,4,3968,5531,M8,4652,48,4700,-831,0,831
Job_053,7,3979,5218,M7,4652,49,4701,-517,0,517
Job_057,3,4320,5564,M3,4679,36,4715,-849,0,849
Job_063,0,4650,5961,M1,4683,46,4729,-1232,0,1232
Job_061,1,4546,5785,M0,4687,6,4693,-1092,0,1092
Job_052,5,3973,6037,M8,4700,52,4752,-1285,0,1285
Job_053,8,3979,5218,M9,4707,72,4779,-439,0,439
Job_056,6,4192,5894,M5,4707,47,4754,-1140,0,1140
Job_043,9,3173,4736,M7,4711,25,4736,0,0,0
Job_046,8,3567,5447,M4,4714,26,4740,-707,0,707
Job_059,2,4460,6249,M3,4715,39,4754,-1495,0,1495
Job_054,3,3980,5770,M2,4721,74,4795,-975,0,975
Job_061,2,4546,5785,M1,4729,22,4751,-1034,0,1034
Job_063,1,4650,5961,M0,4729,37,4766,-1195,0,1195
Job_055,7,4096,5340,M7,4736,56,4792,-548,0,548
Job_062,1,4613,6176,M1,4751,2,4753,-1423,0,1423
Job_056,7,4192,5894,M3,4754,52,4806,-1088,0,1088
Job_061,3,4546,5785,M5,4754,61,4815,-970,0,970
Job_040,9,3020,4809,M4,4776,33,4809,0,0,0
Job_051,5,3968,5531,M9,4779,72,4851,-680,0,680
Job_050,8,3801,5408,M7,4792,72,4864,-544,0,544
Job_055,8,4096,5340,M8,4792,44,4836,-504,0,504
Job_059,3,4460,6249,M2,4795,74,4869,-1380,0,1380
Job_063,2,4650,5961,M3,4806,61,4867,-1094,0,1094
Job_056,8,4192,5894,M4,4809,90,4899,-995,0,995
Job_062,2,4613,6176,M5,4815,52,4867,-1309,0,1309
Job_054,4,3980,5770,M8,4836,90,4926,-844,0,844
Job_051,6,3968,5531,M0,4851,47,4898,-633,0,633
Job_058,3,4400,6007,M9,4851,11,4862,-1145,0,1145
Job_049,7,3747,5628,M7,4864,89,4953,-675,0,675
