Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_001,0,83,2395,M0,1440,43,1483,-912,0,912
Job_002,0,144,2628,M1,1440,91,1531,-1097,0,1097
Job_015,0,1134,3099,M2,1440,14,1454,-1645,0,1645
Job_007,0,488,2886,M2,1454,31,1485,-1401,0,1401
Job_000,0,0,1971,M0,1483,29,1512,-459,0,459
Job_005,0,302,2573,M2,1485,84,1569,-1004,0,1004
Job_015,1,1134,3099,M0,1512,6,1518,-1581,0,1581
Job_000,1,0,1971,M1,1531,78,1609,-362,0,362
Job_002,1,144,2628,M0,1531,85,1616,-1012,0,1012
Job_004,0,233,2198,M2,1569,14,1583,-615,0,615
Job_000,2,0,1971,M2,1609,9,1618,-353,0,353
Job_003,0,197,2938,M1,1609,81,1690,-1248,0,1248
Job_002,2,144,2628,M3,1616,39,1655,-973,0,973
Job_012,0,950,3262,M0,1616,43,1659,-1603,0,1603
Job_002,3,144,2628,M2,1655,74,1729,-899,0,899
Job_004,1,233,2198,M0,1659,6,1665,-533,0,533
Job_007,1,488,2886,M0,1665,86,1751,-1135,0,1135
Job_000,3,0,1971,M3,1678,36,1714,-257,0,257
Job_005,1,302,2573,M1,1690,2,1692,-881,0,881
Job_005,2,302,2573,M5,1692,52,1744,-829,0,829
Job_016,0,1135,3619,M1,1692,91,1783,-1836,0,1836
Job_000,4,0,1971,M4,1714,49,1763,-208,0,208
Job_001,1,83,2395,M2,1729,90,1819,-576,0,576
Job_002,4,144,2628,M8,1729,90,1819,-809,0,809
Job_005,3,302,2573,M3,1744,95,1839,-734,0,734
Job_011,0,894,3464,M0,1751,76,1827,-1637,0,1637
Job_000,5,0,1971,M5,1763,11,1774,-197,0,197
Job_000,6,0,1971,M6,1774,62,1836,-135,0,135
Job_004,2,233,2198,M1,1783,22,1805,-393,0,393
Job_004,3,233,2198,M5,1805,61,1866,-332,0,332
Job_006,0,340,2374,M1,1805,46,1851,-523,0,523
Job_001,2,83,2395,M4,1819,75,1894,-501,0,501
Job_003,1,197,2938,M2,1819,95,1914,-1024,0,1024
Job_017,0,1254,3225,M0,1827,29,1856,-1369,0,1369
Job_000,7,0,1971,M7,1836,56,1892,-79,0,79
Job_005,4,302,2573,M8,1839,48,1887,-686,0,686
Job_018,0,1354,3755,M1,1851,85,1936,-1819,0,1819
Job_006,1,340,2374,M0,1856,37,1893,-481,0,481
Job_002,5,144,2628,M5,1866,10,1876,-752,0,752
Job_004,4,233,2198,M3,1866,26,1892,-306,0,306
Job_000,8,0,1971,M8,1892,44,1936,-35,0,35
Job_002,6,144,2628,M7,1892,12,1904,-724,0,724
Job_006,2,340,2374,M3,1893,61,1954,-420,0,420
Job_001,3,83,2395,M9,1894,11,1905,-490,0,490
Job_004,5,233,2198,M4,1894,69,1963,-235,0,235
Job_002,7,144,2628,M6,1904,89,1993,-635,0,635
Job_003,2,197,2938,M0,1914,71,1985,-953,0,953
Job_010,0,845,3242,M2,1914,31,1945,-1297,0,1297
Job_011,1,894,3464,M1,1936,69,2005,-1459,0,1459
Job_012,1,950,3262,M2,1945,90,2035,-1227,0,1227
Job_000,9,0,1971,M9,1950,21,1971,0,0,0
Job_001,4,83,2395,M3,1954,69,2023,-372,0,372
Job_004,6,233,2198,M8,1963,21,1984,-214,0,214
Job_005,5,302,2573,M9,1971,72,2043,-530,0,530
Job_004,7,233,2198,M7,1984,49,2033,-165,0,165
Job_003,3,197,2938,M4,1985,99,2084,-854,0,854
Job_010,1,845,3242,M0,1985,86,2071,-1171,0,1171
Job_007,2,488,2886,M1,2005,46,2051,-835,0,835
Job_011,2,894,3464,M3,2023,76,2099,-1365,0,1365
Job_006,3,340,2374,M2,2035,13,2048,-326,0,326
Job_004,8,233,2198,M9,2043,72,2115,-83,0,83
Job_006,4,340,2374,M6,2048,32,2080,-294,0,294
Job_013,0,1123,3393,M2,2048,84,2132,-1261,0,1261
Job_001,5,83,2395,M1,2051,28,2079,-316,0,316
Job_016,1,1135,3619,M0,2071,85,2156,-1463,0,1463
Job_010,2,845,3242,M1,2079,46,2125,-1117,0,1117
