Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_019,0,1440,3311,M0,2880,29,2909,-402,0,402
Job_025,0,1780,3714,M1,2880,46,2926,-788,0,788
Job_029,0,2285,4582,M2,2880,31,2911,-1671,0,1671
Job_002,9,144,2528,M4,2890,33,2923,395,395,0
Job_023,0,1673,3538,M2,2911,14,2925,-613,0,613
Job_018,8,1354,3655,M4,2923,90,3013,-642,0,642
Job_023,1,1673,3538,M0,2925,6,2931,-607,0,607
Job_026,0,1928,4226,M2,2925,31,2956,-1270,0,1270
Job_009,6,740,3041,M5,2926,47,2973,-68,0,68
Job_010,7,845,3142,M9,2926,48,2974,-168,0,168
Job_019,1,1440,3311,M1,2926,78,3004,-307,0,307
Job_020,0,1523,3735,M0,2931,43,2974,-761,0,761
Job_012,8,950,3162,M7,2939,72,3011,-151,0,151
Job_034,0,2574,4439,M2,2956,14,2970,-1469,0,1469
Job_009,7,740,3041,M3,2973,52,3025,-16,0,16
Job_015,8,1134,2999,M9,2974,72,3046,47,47,0
Job_026,1,1928,4226,M0,2974,86,3060,-1166,0,1166
Job_008,9,708,3178,M8,2978,74,3052,-126,0,126
Job_019,2,1440,3311,M2,3004,9,3013,-298,0,298
Job_023,2,1673,3538,M1,3004,22,3026,-512,0,512
Job_014,4,1128,3769,M6,3007,9,3016,-753,0,753
Job_010,8,845,3142,M7,3011,36,3047,-95,0,95
Job_011,8,894,3364,M4,3013,26,3039,-325,0,325
Job_024,0,1742,3913,M2,3013,84,3097,-816,0,816
Job_017,6,1254,3125,M6,3016,62,3078,-47,0,47
Job_019,3,1440,3311,M3,3025,36,3061,-250,0,250
Job_021,0,1584,3968,M1,3026,91,3117,-851,0,851
Job_023,3,1673,3538,M5,3026,61,3087,-451,0,451
Job_009,8,740,3041,M4,3039,90,3129,88,88,0
Job_016,8,1135,3519,M9,3046,45,3091,-428,0,428
Job_014,5,1128,3769,M8,3052,52,3104,-665,0,665
Job_025,1,1780,3714,M0,3060,37,3097,-617,0,617
Job_010,9,845,3142,M3,3063,79,3142,0,0,0
Job_015,9,1134,2999,M6,3078,53,3131,132,132,0
Job_017,7,1254,3125,M7,3078,56,3134,9,9,0
Job_020,1,1523,3735,M2,3097,90,3187,-548,0,548
Job_034,1,2574,4439,M0,3097,6,3103,-1336,0,1336
Job_012,9,950,3162,M8,3104,30,3134,-28,0,28
Job_021,1,1584,3968,M0,3117,85,3202,-766,0,766
Job_033,0,2568,5209,M1,3117,81,3198,-2011,0,2011
Job_019,4,1440,3311,M4,3129,49,3178,-133,0,133
Job_013,7,1123,3293,M6,3131,65,3196,-97,0,97
Job_009,9,740,3041,M7,3134,45,3179,138,138,0
Job_017,8,1254,3125,M8,3134,44,3178,53,53,0
Job_023,4,1673,3538,M3,3142,26,3168,-370,0,370
Job_025,2,1780,3714,M3,3168,61,3229,-485,0,485
Job_017,9,1254,3125,M9,3178,21,3199,74,74,0
Job_019,5,1440,3311,M5,3178,11,3189,-122,0,122
Job_023,5,1673,3538,M4,3178,69,3247,-291,0,291
Job_014,6,1128,3769,M7,3179,85,3264,-505,0,505
Job_019,6,1440,3311,M6,3196,62,3258,-53,0,53
