Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_038,0,2880,4851,M0,4320,29,4349,-502,0,502
Job_042,0,3113,5078,M2,4320,14,4334,-744,0,744
Job_022,5,1637,4378,M8,4325,52,4377,-1,0,1
Job_034,7,2574,4539,M7,4328,49,4377,-162,0,162
Job_053,0,4014,5979,M2,4334,14,4348,-1631,0,1631
Job_028,7,2180,4581,M3,4337,52,4389,-192,0,192
Job_021,8,1584,4068,M9,4348,45,4393,325,325,0
Job_033,4,2568,5309,M6,4348,9,4357,-952,0,952
Job_045,0,3368,5766,M2,4348,31,4379,-1387,0,1387
Job_038,1,2880,4851,M1,4349,78,4427,-424,0,424
Job_039,0,2963,5275,M0,4349,43,4392,-883,0,883
Job_036,6,2694,4665,M6,4360,62,4422,-243,0,243
Job_022,6,1637,4378,M7,4377,85,4462,84,84,0
Job_032,3,2563,4833,M3,4389,95,4484,-349,0,349
Job_042,1,3113,5078,M0,4392,6,4398,-680,0,680
Job_021,9,1584,4068,M4,4393,33,4426,358,358,0
Job_034,8,2574,4539,M9,4393,72,4465,-74,0,74
Job_053,1,4014,5979,M0,4398,6,4404,-1575,0,1575
Job_046,0,3588,6158,M0,4404,76,4480,-1678,0,1678
Job_029,6,2285,4682,M8,4413,19,4432,-250,0,250
Job_027,6,2148,4718,M6,4422,40,4462,-256,0,256
Job_028,8,2180,4581,M4,4426,90,4516,-65,0,65
Job_038,2,2880,4851,M2,4427,9,4436,-415,0,415
Job_044,0,3220,5254,M1,4427,46,4473,-781,0,781
Job_033,5,2568,5309,M8,4432,52,4484,-825,0,825
Job_039,1,2963,5275,M2,4436,90,4526,-749,0,749
Job_036,7,2694,4665,M7,4462,56,4518,-147,0,147
Job_029,7,2285,4682,M9,4465,48,4513,-169,0,169
Job_042,2,3113,5078,M1,4473,22,4495,-583,0,583
Job_045,1,3368,5766,M0,4480,86,4566,-1200,0,1200
Job_032,4,2563,4833,M8,4484,48,4532,-301,0,301
Job_038,3,2880,4851,M3,4484,36,4520,-331,0,331
Job_034,9,2574,4539,M6,4486,53,4539,0,0,0
Job_040,0,3024,5508,M1,4495,91,4586,-922,0,922
Job_042,3,3113,5078,M5,4495,61,4556,-522,0,522
Job_028,9,2180,4581,M7,4518,45,4563,-18,0,18
Job_022,7,1637,4378,M3,4520,98,4618,240,240,0
Job_038,4,2880,4851,M4,4520,49,4569,-282,0,282
Job_032,5,2563,4833,M9,4532,72,4604,-229,0,229
Job_036,8,2694,4665,M8,4532,44,4576,-89,0,89
Job_029,8,2285,4682,M7,4563,36,4599,-83,0,83
Job_044,1,3220,5254,M0,4566,37,4603,-651,0,651
