Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_189,9,14300,15888,M7,15843,45,15888,0,0,0
Job_192,8,14543,16005,M9,15848,45,15893,-112,0,112
Job_205,5,15522,16813,M4,15857,69,15926,-887,0,887
Job_196,7,14737,15738,M8,15878,89,15967,229,229,0
Job_203,3,15511,17108,M3,15901,95,15996,-1112,0,1112
Job_208,1,15740,17249,M0,15907,13,15920,-1329,0,1329
Job_209,0,15840,16932,M0,15920,29,15949,-983,0,983
Job_201,1,15285,17077,M1,15924,69,15993,-1084,0,1084
Job_207,2,15641,17015,M2,15930,9,15939,-1076,0,1076
Job_185,9,14076,15975,M5,15932,43,15975,0,0,0
Job_208,2,15740,17249,M2,15939,61,16000,-1249,0,1249
Job_198,5,15101,16739,M9,15941,11,15952,-787,0,787
Job_200,1,15236,16980,M0,15949,86,16035,-945,0,945
Job_198,6,15101,16739,M6,15963,40,16003,-736,0,736
Job_192,9,14543,16005,M4,15964,33,15997,-8,0,8
Job_191,9,14482,16016,M8,15967,30,15997,-19,0,19
Job_196,8,14737,15738,M7,15967,30,15997,259,259,0
Job_199,6,15133,16477,M5,15975,47,16022,-455,0,455
Job_207,3,15641,17015,M3,15996,36,16032,-983,0,983
Job_195,4,14699,16613,M8,15997,48,16045,-568,0,568
Job_196,9,14737,15738,M4,15997,55,16052,314,314,0
Job_202,1,15340,16919,M2,16000,90,16090,-829,0,829
Job_208,3,15740,17249,M6,16003,7,16010,-1239,0,1239
Job_198,7,15101,16739,M7,16008,89,16097,-642,0,642
Job_188,9,14201,16045,M9,16024,21,16045,0,0,0
Job_201,2,15285,17077,M3,16032,76,16108,-969,0,969
Job_200,2,15236,16980,M1,16035,46,16081,-899,0,899
Job_206,1,15523,17371,M0,16035,85,16120,-1251,0,1251
Job_193,5,14594,16529,M8,16045,52,16097,-432,0,432
Job_195,5,14699,16613,M9,16045,72,16117,-496,0,496
Job_207,4,15641,17015,M4,16052,49,16101,-914,0,914
Job_211,0,15983,17362,M1,16081,91,16172,-1190,0,1190
Job_213,0,16071,17280,M2,16090,14,16104,-1176,0,1176
Job_193,6,14594,16529,M7,16097,85,16182,-347,0,347
Job_197,6,14883,16825,M8,16097,19,16116,-709,0,709
Job_202,2,15340,16919,M4,16101,75,16176,-743,0,743
Job_207,5,15641,17015,M5,16101,11,16112,-903,0,903
Job_199,7,15133,16477,M3,16108,52,16160,-317,0,317
Job_201,3,15285,17077,M5,16112,51,16163,-914,0,914
Job_207,6,15641,17015,M6,16112,62,16174,-841,0,841
Job_203,4,15511,17108,M8,16116,48,16164,-944,0,944
Job_197,7,14883,16825,M9,16117,48,16165,-660,0,660
Job_213,1,16071,17280,M0,16120,6,16126,-1154,0,1154
Job_195,6,14699,16613,M0,16126,47,16173,-440,0,440
Job_206,2,15523,17371,M3,16160,39,16199,-1172,0,1172
Job_200,3,15236,16980,M5,16163,74,16237,-743,0,743
Job_201,4,15285,17077,M2,16163,85,16248,-829,0,829
Job_205,6,15522,16813,M8,16164,21,16185,-628,0,628
Job_203,5,15511,17108,M9,16165,72,16237,-871,0,871
Job_209,1,15840,16932,M1,16172,78,16250,-682,0,682
Job_211,1,15983,17362,M0,16173,85,16258,-1104,0,1104
Job_195,7,14699,16613,M6,16174,65,16239,-374,0,374
Job_204,3,15516,17377,M4,16176,99,16275,-1102,0,1102
Job_207,7,15641,17015,M7,16182,56,16238,-777,0,777
Job_208,4,15740,17249,M8,16185,64,16249,-1000,0,1000
Job_193,7,14594,16529,M3,16199,98,16297,-232,0,232
Job_202,3,15340,16919,M9,16237,11,16248,-671,0,671
Job_197,8,14883,16825,M7,16238,36,16274,-551,0,551
Job_201,5,15285,17077,M9,16248,11,16259,-818,0,818
Job_206,3,15523,17371,M2,16248,74,16322,-1049,0,1049
Job_207,8,15641,17015,M8,16249,44,16293,-722,0,722
Job_213,2,16071,17280,M1,16250,22,16272,-1008,0,1008
Job_210,0,15922,17088,M0,16258,43,16301,-787,0,787
Job_201,6,15285,17077,M6,16259,40,16299,-778,0,778
Job_208,5,15740,17249,M9,16259,76,16335,-914,0,914
Job_213,3,16071,17280,M5,16272,61,16333,-947,0,947
Job_215,0,16177,17341,M1,16272,46,16318,-1023,0,1023
Job_205,7,15522,16813,M7,16274,49,16323,-490,0,490
Job_195,8,14699,16613,M4,16275,6,16281,-332,0,332
Job_200,4,15236,16980,M4,16281,32,16313,-667,0,667
Job_202,4,15340,16919,M3,16297,69,16366,-553,0,553
Job_204,4,15516,17377,M6,16299,9,16308,-1069,0,1069
Job_203,6,15511,17108,M0,16301,47,16348,-760,0,760
Job_204,5,15516,17377,M8,16308,52,16360,-1017,0,1017
Job_198,8,15101,16739,M4,16313,26,16339,-400,0,400
Job_200,5,15236,16980,M6,16313,88,16401,-579,0,579
Job_209,2,15840,16932,M2,16322,9,16331,-601,0,601
Job_201,7,15285,17077,M7,16323,89,16412,-665,0,665
Job_216,0,16323,17913,M2,16331,31,16362,-1551,0,1551
Job_193,8,14594,16529,M9,16335,22,16357,-172,0,172
Job_208,6,15740,17249,M5,16335,47,16382,-867,0,867
Job_199,8,15133,16477,M4,16339,90,16429,-48,0,48
Job_215,1,16177,17341,M0,16348,37,16385,-956,0,956
Job_205,8,15522,16813,M9,16357,72,16429,-384,0,384
Job_210,1,15922,17088,M2,16362,90,16452,-636,0,636
Job_211,2,15983,17362,M3,16366,39,16405,-957,0,957
Job_202,5,15340,16919,M1,16368,28,16396,-523,0,523
Job_216,1,16323,17913,M0,16385,86,16471,-1442,0,1442
Job_212,0,16034,18093,M1,16396,81,16477,-1616,0,1616
Job_203,7,15511,17108,M6,16401,65,16466,-642,0,642
Job_209,3,15840,16932,M3,16405,36,16441,-491,0,491
Job_200,6,15236,16980,M8,16421,19,16440,-540,0,540
Job_201,8,15285,17077,M4,16429,26,16455,-622,0,622
Job_199,9,15133,16477,M7,16432,45,16477,0,0,0
Job_200,7,15236,16980,M9,16440,48,16488,-492,0,492
Job_206,4,15523,17371,M8,16440,90,16530,-841,0,841
Job_215,2,16177,17341,M3,16441,61,16502,-839,0,839
Job_211,3,15983,17362,M2,16452,74,16526,-836,0,836
Job_202,6,15340,16919,M6,16466,46,16512,-407,0,407
Job_203,8,15511,17108,M4,16466,6,16472,-636,0,636
Job_209,4,15840,16932,M4,16474,49,16523,-409,0,409
Job_204,6,15516,17377,M7,16477,85,16562,-815,0,815
Job_216,2,16323,17913,M1,16477,46,16523,-1390,0,1390
Job_193,9,14594,16529,M5,16486,43,16529,0,0,0
Job_213,4,16071,17280,M3,16502,26,16528,-752,0,752
Job_210,2,15922,17088,M4,16523,75,16598,-490,0,490
Job_215,3,16177,17341,M2,16526,13,16539,-802,0,802
Job_208,7,15740,17249,M3,16528,52,16580,-669,0,669
Job_209,5,15840,16932,M5,16529,11,16540,-392,0,392
Job_211,4,15983,17362,M8,16530,90,16620,-742,0,742
Job_214,0,16139,17497,M2,16539,84,16623,-874,0,874
Job_215,4,16177,17341,M6,16539,32,16571,-770,0,770
Job_202,7,15340,16919,M5,16540,46,16586,-333,0,333
Job_217,0,16541,18687,M0,16541,76,16617,-2070,0,2070
Job_209,6,15840,16932,M6,16571,62,16633,-299,0,299
Job_218,0,16573,18387,M1,16573,85,16658,-1729,0,1729
Job_204,7,15516,17377,M3,16580,98,16678,-699,0,699
Job_206,5,15523,17371,M5,16586,10,16596,-775,0,775
Job_195,9,14699,16613,M7,16588,25,16613,0,0,0
Job_215,5,16177,17341,M5,16596,21,16617,-724,0,724
Job_210,3,15922,17088,M9,16598,11,16609,-479,0,479
Job_213,5,16071,17280,M4,16598,69,16667,-613,0,613
Job_206,6,15523,17371,M7,16613,12,16625,-746,0,746
Job_215,6,16177,17341,M9,16617,32,16649,-692,0,692
Job_216,3,16323,17913,M5,16617,74,16691,-1222,0,1222
Job_202,8,15340,16919,M7,16625,72,16697,-222,0,222
Job_206,7,15523,17371,M6,16633,89,16722,-649,0,649
Job_217,1,16541,18687,M1,16658,69,16727,-1960,0,1960
Job_218,1,16573,18387,M0,16658,13,16671,-1716,0,1716
Job_198,9,15101,16739,M8,16665,74,16739,0,0,0
Job_219,0,16676,18339,M2,16676,31,16707,-1632,0,1632
Job_204,8,15516,17377,M9,16678,22,16700,-677,0,677
Job_210,4,15922,17088,M3,16678,69,16747,-341,0,341
Job_211,5,15983,17362,M5,16691,10,16701,-661,0,661
Job_216,4,16323,17913,M4,16691,32,16723,-1190,0,1190
Job_200,8,15236,16980,M7,16697,36,16733,-247,0,247
Job_212,1,16034,18093,M2,16707,95,16802,-1291,0,1291
Job_219,1,16676,18339,M0,16707,86,16793,-1546,0,1546
Job_206,8,15523,17371,M9,16722,45,16767,-604,0,604
Job_208,8,15740,17249,M4,16723,90,16813,-436,0,436
Job_214,1,16139,17497,M1,16727,2,16729,-768,0,768
Job_214,2,16139,17497,M5,16729,52,16781,-716,0,716
Job_209,7,15840,16932,M7,16733,56,16789,-143,0,143
Job_215,7,16177,17341,M8,16739,89,16828,-513,0,513
Job_197,9,14883,16825,M3,16747,79,16826,1,1,0
Job_210,5,15922,17088,M1,16747,28,16775,-313,0,313
Job_205,9,15522,16813,M6,16760,53,16813,0,0,0
Job_211,6,15983,17362,M7,16789,12,16801,-561,0,561
Job_219,2,16676,18339,M1,16793,46,16839,-1500,0,1500
Job_221,0,16780,18240,M0,16793,43,16836,-1404,0,1404
Job_218,2,16573,18387,M2,16802,61,16863,-1524,0,1524
Job_210,6,15922,17088,M6,16813,46,16859,-229,0,229
