Job,Operation,Arrival,Machine,Start,Simulated Processing Time,Flow time,End
Job_000,0,0,M0,1440.0,14.78,1454.78,1454.78
Job_000,1,0,M1,1469.0,102.46,1571.46,1571.46
Job_000,2,0,M2,1675.88,16.42,1692.3,1692.3
Job_000,3,0,M3,1726.87,32.42,1759.29,1759.29
Job_000,4,0,M4,1811.99,52.42,1864.41,1864.41
Job_000,5,0,M5,1864.41,7.6,1872.01,1872.01
Job_000,6,0,M6,1888.24,68.23,1956.47,1956.47
Job_000,7,0,M7,1956.47,65.81,2022.28,2022.28
Job_000,8,0,M8,2022.28,86.52,2108.8,2108.8
Job_000,9,0,M9,2108.8,22.85,2131.65,2131.65
Job_001,0,83,M0,1477.43,36.34,1430.77,1513.77
Job_001,1,83,M2,1563.23,112.65,1592.88,1675.88
Job_001,2,83,M4,1675.88,74.21,1667.09,1750.09
Job_001,3,83,M9,1750.09,13.36,1680.45,1763.45
Job_001,4,83,M3,1763.45,73.27,1753.72,1836.72
Job_001,5,83,M1,1876.57,31.53,1825.1,1908.1
Job_001,6,83,M6,1956.47,54.72,1928.19,2011.19
Job_001,7,83,M5,2011.19,26.49,1954.68,2037.68
Job_001,8,83,M7,2037.68,47.94,2002.62,2085.62
Job_001,9,83,M8,2316.34,22.99,2256.33,2339.33
Job_002,0,144,M1,1626.33,96.32,1578.65,1722.65
Job_002,1,144,M0,1822.13,107.42,1785.55,1929.55
Job_002,2,144,M3,1929.55,48.11,1833.66,1977.66
Job_002,3,144,M2,2035.73,86.18,1977.9099999999999,2121.91
Job_002,4,144,M8,2241.2,75.14,2172.34,2316.34
Job_002,5,144,M5,2380.71,8.08,2244.79,2388.79
Job_002,6,144,M7,2388.79,7.19,2251.98,2395.98
Job_002,7,144,M6,2395.98,88.82,2340.8,2484.8
Job_002,8,144,M9,2545.02,47.9,2448.92,2592.92
Job_002,9,144,M4,2592.92,39.69,2488.61,2632.61
Job_003,0,197,M1,1724.35,86.14,1613.49,1810.49
Job_003,1,197,M2,1850.06,91.73,1744.79,1941.79
Job_003,2,197,M0,2012.25,48.16,1863.4099999999999,2060.41
Job_003,3,197,M4,2060.41,111.47,1974.88,2171.88
Job_003,4,197,M6,2276.66,8.93,2088.59,2285.59
Job_003,5,197,M8,2363.64,51.25,2217.89,2414.89
Job_003,6,197,M7,2458.65,56.32,2317.97,2514.97
Job_003,7,197,M3,2514.97,134.86,2452.83,2649.83
Job_003,8,197,M9,2681.32,19.97,2504.29,2701.29
Job_003,9,197,M5,2769.0,45.58,2617.58,2814.58
Job_004,0,233,M2,1440.0,18.33,1225.33,1458.33
Job_004,1,233,M0,1469.0,8.43,1244.43,1477.43
Job_004,2,233,M1,1571.46,19.51,1357.97,1590.97
Job_004,3,233,M5,1590.97,62.63,1420.6,1653.6
Job_004,4,233,M3,1653.6,24.55,1445.15,1678.15
Job_004,5,233,M4,1750.09,61.9,1578.99,1811.99
Job_004,6,233,M8,1819.0,20.14,1606.14,1839.14
Job_004,7,233,M7,1840.0,25.42,1632.42,1865.42
Job_004,8,233,M9,1889.0,81.62,1737.62,1970.62
Job_004,9,233,M6,2019.0,108.11,1894.1100000000001,2127.11
Job_005,0,302,M2,1458.33,88.1,1244.43,1546.43
Job_005,1,302,M1,1722.65,1.7,1422.35,1724.35
Job_005,2,302,M5,1724.35,81.24,1503.59,1805.59
Job_005,3,302,M3,1836.72,69.32,1604.04,1906.04
Job_005,4,302,M8,1906.04,62.28,1666.32,1968.32
Job_005,5,302,M9,2023.93,65.66,1787.5900000000001,2089.59
Job_005,6,302,M0,2182.5,72.43,1952.9299999999998,2254.93
Job_005,7,302,M6,2291.01,46.86,2035.87,2337.87
Job_005,8,302,M4,2337.87,7.12,2042.9899999999998,2344.99
Job_005,9,302,M7,2514.97,30.46,2243.43,2545.43
Job_006,0,340,M1,1590.97,35.36,1286.33,1626.33
Job_006,1,340,M0,1626.33,62.77,1349.1,1689.1
Job_006,2,340,M3,1689.1,37.77,1386.87,1726.87
Job_006,3,340,M2,1827.19,22.87,1510.06,1850.06
Job_006,4,340,M6,1850.06,38.18,1548.24,1888.24
Job_006,5,340,M5,1965.27,21.56,1646.83,1986.83
Job_006,6,340,M9,1987.53,36.4,1683.93,2023.93
Job_006,7,340,M8,2108.8,132.4,1901.1999999999998,2241.2
Job_006,8,340,M7,2241.2,27.41,1928.6100000000001,2268.61
Job_006,9,340,M4,2268.61,27.54,1956.15,2296.15
Job_007,0,488,M2,1692.3,22.07,1226.37,1714.37
Job_007,1,488,M0,1720.37,101.76,1334.13,1822.13
Job_007,2,488,M1,1822.13,54.44,1388.57,1876.57
Job_007,3,488,M5,1876.57,88.7,1477.27,1965.27
Job_007,4,488,M4,1965.27,25.55,1502.82,1990.82
Job_007,5,488,M6,2127.11,149.55,1788.6599999999999,2276.66
Job_007,6,488,M8,2339.33,24.31,1875.6399999999999,2363.64
Job_007,7,488,M9,2363.64,40.95,1916.5900000000001,2404.59
Job_007,8,488,M7,2404.59,54.06,1970.65,2458.65
Job_007,9,488,M3,2862.13,89.38,2463.51,2951.51
Job_008,0,708,M0,1518.0,71.46,881.46,1589.46
Job_008,1,708,M1,2063.61,123.54,1479.15,2187.15
Job_008,2,708,M3,2187.15,95.9,1575.0500000000002,2283.05
Job_008,3,708,M5,2348.47,32.24,1672.71,2380.71
