Job,Operation,Machine,Arrival,Deadline,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_011,7,M7,894,3338,2722,89,2811,-527,0,527
Job_011,8,M4,894,3338,2811,26,2837,-501,0,501
Job_013,5,M9,1123,3267,2599,72,2671,-596,0,596
Job_013,6,M0,1123,3267,2704,47,2751,-516,0,516
Job_013,7,M6,1123,3267,2751,65,2816,-451,0,451
Job_013,8,M4,1123,3267,2837,6,2843,-424,0,424
Job_014,3,M4,1128,3743,2704,99,2803,-940,0,940
Job_014,4,M6,1128,3743,2816,9,2825,-918,0,918
Job_014,5,M8,1128,3743,2834,52,2886,-857,0,857
Job_016,4,M8,1135,3493,2744,90,2834,-659,0,659
Job_016,5,M5,1135,3493,2867,10,2877,-616,0,616
Job_016,6,M7,1135,3493,2877,12,2889,-604,0,604
Job_017,8,M8,1254,3099,2636,44,2680,-419,0,419
Job_018,6,M5,1354,3629,2820,47,2867,-762,0,762
Job_018,7,M3,1354,3629,2867,52,2919,-710,0,710
