Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_152,0,11520,13535,M0,12960,29,12989,-546,0,546
Job_156,0,11761,13770,M2,12960,14,12974,-796,0,796
Job_158,0,11871,13949,M1,12960,46,13006,-943,0,943
Job_151,3,11478,13919,M6,12965,7,12972,-947,0,947
Job_147,4,11245,14022,M6,12972,9,12981,-1041,0,1041
Job_136,8,10283,13061,M9,12974,22,12996,-65,0,65
Job_142,6,10844,13285,M5,12974,47,13021,-264,0,264
Job_159,0,12024,14462,M2,12974,31,13005,-1457,0,1457
Job_146,7,11240,13551,M6,12981,65,13046,-505,0,505
Job_143,6,10952,13390,M8,12982,19,13001,-389,0,389
Job_156,1,11761,13770,M0,12989,6,12995,-775,0,775
Job_143,7,10952,13390,M9,13001,48,13049,-341,0,341
Job_159,1,12024,14462,M0,13005,86,13091,-1371,0,1371
Job_162,0,12392,14830,M2,13005,31,13036,-1794,0,1794
Job_156,2,11761,13770,M1,13006,22,13028,-742,0,742
Job_136,9,10283,13061,M5,13021,43,13064,3,3,0
Job_147,5,11245,14022,M8,13026,52,13078,-944,0,944
Job_150,7,11375,13390,M7,13026,56,13082,-308,0,308
Job_152,1,11520,13535,M1,13028,78,13106,-429,0,429
Job_167,0,12691,14701,M2,13036,14,13050,-1651,0,1651
Job_142,7,10844,13285,M3,13037,52,13089,-196,0,196
Job_144,6,11004,13611,M6,13046,40,13086,-525,0,525
Job_146,8,11240,13551,M4,13046,6,13052,-499,0,499
Job_148,8,11251,13261,M9,13049,72,13121,-140,0,140
Job_149,5,11252,13775,M5,13064,10,13074,-701,0,701
Job_156,3,11761,13770,M5,13074,61,13135,-635,0,635
Job_150,8,11375,13390,M8,13082,44,13126,-264,0,264
Job_142,8,10844,13285,M4,13089,90,13179,-106,0,106
Job_149,6,11252,13775,M7,13091,12,13103,-672,0,672
Job_153,0,11606,13958,M0,13091,43,13134,-824,0,824
Job_147,6,11245,14022,M7,13103,85,13188,-834,0,834
Job_149,7,11252,13775,M6,13103,89,13192,-583,0,583
Job_152,2,11520,13535,M2,13106,9,13115,-420,0,420
Job_159,2,12024,14462,M1,13106,46,13152,-1310,0,1310
Job_152,3,11520,13535,M3,13115,36,13151,-384,0,384
Job_151,4,11478,13919,M8,13126,64,13190,-729,0,729
Job_153,1,11606,13958,M2,13134,90,13224,-734,0,734
Job_162,1,12392,14830,M0,13134,86,13220,-1610,0,1610
Job_156,4,11761,13770,M3,13151,26,13177,-593,0,593
Job_155,0,11723,14501,M1,13152,81,13233,-1268,0,1268
Job_159,3,12024,14462,M5,13152,74,13226,-1236,0,1236
Job_152,4,11520,13535,M4,13179,49,13228,-307,0,307
Job_143,8,10952,13390,M7,13188,36,13224,-166,0,166
Job_147,7,11245,14022,M3,13188,98,13286,-736,0,736
Job_149,8,11252,13775,M9,13192,45,13237,-538,0,538
Job_148,9,11251,13261,M6,13208,53,13261,0,0,0
Job_164,0,12501,14854,M0,13220,43,13263,-1591,0,1591
Job_157,0,11832,14144,M2,13224,84,13308,-836,0,836
Job_152,5,11520,13535,M5,13228,11,13239,-296,0,296
Job_153,2,11606,13958,M4,13228,75,13303,-655,0,655
Job_154,0,11669,14192,M1,13233,91,13324,-868,0,868
Job_151,5,11478,13919,M9,13237,76,13313,-606,0,606
Job_142,9,10844,13285,M7,13238,45,13283,-2,0,2
Job_152,6,11520,13535,M6,13261,62,13323,-212,0,212
Job_158,1,11871,13949,M0,13263,37,13300,-649,0,649
Job_144,7,11004,13611,M7,13283,89,13372,-239,0,239
