Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_152,0,11520,13535,M0,12960,29,12989,-546,0,546
Job_158,0,11871,13949,M1,12960,46,13006,-943,0,943
Job_153,0,11606,13958,M0,12989,43,13032,-926,0,926
Job_145,8,11061,13414,M7,12991,72,13063,-351,0,351
Job_143,6,10952,13390,M8,12996,19,13015,-375,0,375
Job_152,1,11520,13535,M1,13006,78,13084,-451,0,451
Job_144,4,11004,13611,M2,13015,85,13100,-511,0,511
Job_149,4,11252,13775,M8,13015,90,13105,-670,0,670
Job_136,9,10283,13061,M5,13018,43,13061,0,0,0
Job_158,1,11871,13949,M0,13032,37,13069,-880,0,880
Job_143,7,10952,13390,M9,13052,48,13100,-290,0,290
Job_146,3,11240,13551,M3,13053,95,13148,-403,0,403
Job_160,0,12251,14859,M0,13069,76,13145,-1714,0,1714
Job_154,0,11669,14192,M1,13084,91,13175,-1017,0,1017
Job_143,8,10952,13390,M7,13100,36,13136,-254,0,254
Job_144,5,11004,13611,M9,13100,11,13111,-500,0,500
Job_152,2,11520,13535,M2,13100,9,13109,-426,0,426
Job_149,5,11252,13775,M5,13105,10,13115,-660,0,660
Job_153,1,11606,13958,M2,13109,90,13199,-759,0,759
Job_144,6,11004,13611,M6,13111,40,13151,-460,0,460
Job_149,6,11252,13775,M7,13136,12,13148,-627,0,627
Job_164,0,12501,14854,M0,13145,43,13188,-1666,0,1666
Job_146,4,11240,13551,M8,13148,48,13196,-355,0,355
Job_152,3,11520,13535,M3,13148,36,13184,-351,0,351
Job_144,7,11004,13611,M7,13151,89,13240,-371,0,371
Job_149,7,11252,13775,M6,13151,89,13240,-535,0,535
Job_155,0,11723,14501,M1,13175,81,13256,-1245,0,1245
Job_152,4,11520,13535,M4,13184,49,13233,-302,0,302
Job_158,2,11871,13949,M3,13184,61,13245,-704,0,704
Job_169,0,12815,14830,M0,13188,29,13217,-1613,0,1613
Job_146,5,11240,13551,M9,13196,72,13268,-283,0,283
Job_156,0,11761,13770,M2,13199,14,13213,-557,0,557
Job_157,0,11832,14144,M2,13213,84,13297,-847,0,847
Job_156,1,11761,13770,M0,13217,6,13223,-547,0,547
Job_152,5,11520,13535,M5,13233,11,13244,-291,0,291
Job_142,9,10844,13285,M7,13240,45,13285,0,0,0
Job_144,8,11004,13611,M4,13240,26,13266,-345,0,345
Job_148,9,11251,13261,M6,13240,53,13293,32,32,0
Job_156,2,11761,13770,M1,13256,22,13278,-492,0,492
Job_153,2,11606,13958,M4,13266,75,13341,-617,0,617
Job_146,6,11240,13551,M0,13268,47,13315,-236,0,236
Job_156,3,11761,13770,M5,13278,61,13339,-431,0,431
Job_161,0,12284,14725,M1,13278,85,13363,-1362,0,1362
Job_152,6,11520,13535,M6,13293,62,13355,-180,0,180
Job_158,3,11871,13949,M2,13297,13,13310,-639,0,639
Job_141,9,10811,13419,M8,13310,74,13384,-35,0,35
Job_155,1,11723,14501,M2,13310,95,13405,-1096,0,1096
Job_143,9,10952,13390,M3,13311,79,13390,0,0,0
Job_154,1,11669,14192,M0,13317,85,13402,-790,0,790
Job_153,3,11606,13958,M9,13341,11,13352,-606,0,606
Job_146,7,11240,13551,M6,13355,65,13420,-131,0,131
Job_152,7,11520,13535,M7,13355,56,13411,-124,0,124
Job_157,1,11832,14144,M1,13363,2,13365,-779,0,779
Job_157,2,11832,14144,M5,13365,52,13417,-727,0,727
Job_160,1,12251,14859,M1,13365,69,13434,-1425,0,1425
Job_150,9,11375,13390,M9,13369,21,13390,0,0,0
Job_145,9,11061,13414,M8,13384,30,13414,0,0,0
Job_156,4,11761,13770,M3,13390,26,13416,-354,0,354
Job_161,1,12284,14725,M0,13402,13,13415,-1310,0,1310
Job_159,0,12024,14462,M2,13405,31,13436,-1026,0,1026
Job_152,8,11520,13535,M8,13414,44,13458,-77,0,77
Job_155,2,11723,14501,M0,13415,71,13486,-1015,0,1015
Job_153,4,11606,13958,M3,13416,69,13485,-473,0,473
