Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_190,0,14400,16415,M0,15840,29,15869,-546,0,546
Job_196,0,14751,16829,M1,15840,46,15886,-943,0,943
Job_179,6,13691,16299,M6,15849,40,15889,-410,0,410
Job_189,5,14358,16799,M9,15849,76,15925,-874,0,874
Job_187,3,14132,16655,M2,15850,74,15924,-731,0,731
Job_188,8,14255,16270,M8,15851,44,15895,-375,0,375
Job_183,8,13941,16294,M7,15860,72,15932,-362,0,362
Job_178,9,13464,15902,M3,15862,79,15941,39,39,0
Job_180,8,13724,16165,M4,15862,90,15952,-213,0,213
Job_191,0,14486,16838,M0,15869,43,15912,-926,0,926
Job_190,1,14400,16415,M1,15886,78,15964,-451,0,451
Job_185,5,14125,16902,M8,15895,52,15947,-955,0,955
Job_174,9,13163,15941,M5,15898,43,15941,0,0,0
Job_196,1,14751,16829,M0,15912,37,15949,-880,0,880
Job_194,0,14641,16650,M2,15924,14,15938,-712,0,712
Job_184,5,14120,16431,M9,15925,72,15997,-434,0,434
Job_179,7,13691,16299,M7,15932,89,16021,-278,0,278
Job_191,1,14486,16838,M2,15938,90,16028,-810,0,810
Job_189,6,14358,16799,M5,15941,47,15988,-811,0,811
Job_187,4,14132,16655,M8,15947,90,16037,-618,0,618
Job_194,1,14641,16650,M0,15949,6,15955,-695,0,695
Job_196,2,14751,16829,M3,15949,61,16010,-819,0,819
Job_198,0,15131,17739,M0,15955,76,16031,-1708,0,1708
Job_194,2,14641,16650,M1,15964,22,15986,-664,0,664
Job_192,0,14549,17072,M1,15986,91,16077,-995,0,995
Job_194,3,14641,16650,M5,15988,61,16049,-601,0,601
Job_182,5,13884,16491,M9,15997,11,16008,-483,0,483
Job_182,6,13884,16491,M6,16008,40,16048,-443,0,443
Job_189,7,14358,16799,M3,16010,52,16062,-737,0,737
Job_179,8,13691,16299,M4,16021,26,16047,-252,0,252
Job_185,6,14125,16902,M7,16021,85,16106,-796,0,796
Job_190,2,14400,16415,M2,16028,9,16037,-378,0,378
Job_184,6,14120,16431,M0,16031,47,16078,-353,0,353
Job_195,0,14712,17024,M2,16037,84,16121,-903,0,903
Job_191,2,14486,16838,M4,16047,75,16122,-716,0,716
Job_187,5,14132,16655,M5,16049,10,16059,-596,0,596
