Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_000,0,0.0,1246.644120384939,M0,0.0,29.0,29.0,0
Job_000,1,0.0,1246.644120384939,M1,29.0,78.0,107.0,0
Job_000,2,0.0,1246.644120384939,M2,107.0,9.0,116.0,0
Job_000,3,0.0,1246.644120384939,M3,116.0,36.0,152.0,0
Job_000,4,0.0,1246.644120384939,M4,152.0,49.0,201.0,0
Job_000,5,0.0,1246.644120384939,M5,201.0,11.0,212.0,0
Job_000,6,0.0,1246.644120384939,M6,212.0,62.0,274.0,0
Job_004,0,246.61,1486.9419982564077,M2,246.61,14.0,260.61,0
Job_004,1,246.61,1486.9419982564077,M0,260.61,6.0,266.61,0
Job_001,0,88.05,1697.6411427754908,M0,266.61,43.0,309.61,0
Job_004,2,246.61,1486.9419982564077,M1,266.61,22.0,288.61,0
Job_000,7,0.0,1246.644120384939,M7,274.0,56.0,330.0,0
Job_004,3,246.61,1486.9419982564077,M5,288.61,61.0,349.61,0
Job_001,1,88.05,1697.6411427754908,M2,309.61,90.0,399.61,0
Job_000,8,0.0,1246.644120384939,M8,330.0,44.0,374.0,0
Job_004,4,246.61,1486.9419982564077,M3,349.61,26.0,375.61,0
Job_006,0,359.74,1672.661402734518,M1,359.74,46.0,405.74,0
Job_000,9,0.0,1246.644120384939,M9,374.0,21.0,395.0,0
Job_001,2,88.05,1697.6411427754908,M4,399.61,75.0,474.61,0
Job_006,1,359.74,1672.661402734518,M0,405.74,37.0,442.74,0
Job_006,2,359.74,1672.661402734518,M3,442.74,61.0,503.74,0
Job_001,3,88.05,1697.6411427754908,M9,474.61,11.0,485.61,0
Job_004,5,246.61,1486.9419982564077,M4,474.61,69.0,543.61,0
Job_001,4,88.05,1697.6411427754908,M3,503.74,69.0,572.74,0
Job_006,3,359.74,1672.661402734518,M2,503.74,13.0,516.74,0
Job_005,0,319.39,1884.7962878757717,M2,516.74,84.0,600.74,0
Job_006,4,359.74,1672.661402734518,M6,516.74,32.0,548.74,0
Job_004,6,246.61,1486.9419982564077,M8,543.61,21.0,564.61,0
Job_006,5,359.74,1672.661402734518,M5,548.74,21.0,569.74,0
Job_004,7,246.61,1486.9419982564077,M7,564.61,49.0,613.61,0
Job_006,6,359.74,1672.661402734518,M9,569.74,32.0,601.74,0
Job_001,5,88.05,1697.6411427754908,M1,572.74,28.0,600.74,0
Job_005,1,319.39,1884.7962878757717,M1,600.74,2.0,602.74,0
Job_006,7,359.74,1672.661402734518,M8,601.74,89.0,690.74,0
Job_002,0,152.78,1945.4226845028995,M1,602.74,91.0,693.74,0
Job_005,2,319.39,1884.7962878757717,M5,602.74,52.0,654.74,0
Job_004,8,246.61,1486.9419982564077,M9,613.61,72.0,685.61,0
Job_005,3,319.39,1884.7962878757717,M3,654.74,95.0,749.74,0
Job_004,9,246.61,1486.9419982564077,M6,685.61,53.0,738.61,0
Job_006,8,359.74,1672.661402734518,M7,690.74,30.0,720.74,0
Job_002,1,152.78,1945.4226845028995,M0,693.74,85.0,778.74,0
Job_003,0,207.97,2275.1899970940126,M1,693.74,81.0,774.74,0
Job_006,9,359.74,1672.661402734518,M4,720.74,55.0,775.74,0
Job_001,6,88.05,1697.6411427754908,M6,738.61,46.0,784.61,0
Job_007,0,515.63,2216.746913639195,M2,743.74,31.0,774.74,0
Job_005,4,319.39,1884.7962878757717,M8,749.74,48.0,797.74,0
Job_003,1,207.97,2275.1899970940126,M2,774.74,95.0,869.74,0
Job_002,2,152.78,1945.4226845028995,M3,778.74,39.0,817.74,0
Job_007,1,515.63,2216.746913639195,M0,778.74,86.0,864.74,0
Job_001,7,88.05,1697.6411427754908,M5,784.61,46.0,830.61,0
Job_005,5,319.39,1884.7962878757717,M9,797.74,72.0,869.74,0
Job_001,8,88.05,1697.6411427754908,M7,830.61,72.0,902.61,0
Job_007,2,515.63,2216.746913639195,M1,864.74,46.0,910.74,0
Job_002,3,152.78,1945.4226845028995,M2,869.74,74.0,943.74,0
Job_005,6,319.39,1884.7962878757717,M0,869.74,47.0,916.74,0
Job_001,9,88.05,1697.6411427754908,M8,902.61,30.0,932.61,0
Job_009,0,781.95,2486.2229747034607,M1,910.74,85.0,995.74,0
Job_003,2,207.97,2275.1899970940126,M0,916.74,71.0,987.74,0
Job_005,7,319.39,1884.7962878757717,M6,916.74,65.0,981.74,0
Job_002,4,152.78,1945.4226845028995,M8,943.74,90.0,1033.74,0
Job_010,0,891.94,2593.056913639195,M2,977.74,31.0,1008.74,0
Job_005,8,319.39,1884.7962878757717,M4,981.74,6.0,987.74,0
Job_003,3,207.97,2275.1899970940126,M4,987.74,99.0,1086.74,0
Job_005,9,319.39,1884.7962878757717,M7,987.74,25.0,1012.74,0
Job_009,1,781.95,2486.2229747034607,M0,995.74,13.0,1008.74,0
Job_010,1,891.94,2593.056913639195,M0,1008.74,86.0,1094.74,0
Job_002,5,152.78,1945.4226845028995,M5,1033.74,10.0,1043.74,0
Job_002,6,152.78,1945.4226845028995,M7,1043.74,12.0,1055.74,0
Job_007,3,515.63,2216.746913639195,M5,1043.74,74.0,1117.74,0
Job_002,7,152.78,1945.4226845028995,M6,1055.74,89.0,1144.74,0
Job_007,4,515.63,2216.746913639195,M4,1117.74,32.0,1149.74,0
Job_002,8,152.78,1945.4226845028995,M9,1144.74,45.0,1189.74,0
Job_003,4,207.97,2275.1899970940126,M6,1144.74,9.0,1153.74,0
Job_003,5,207.97,2275.1899970940126,M8,1153.74,52.0,1205.74,0
Job_007,5,515.63,2216.746913639195,M6,1153.74,88.0,1241.74,0
Job_002,9,152.78,1945.4226845028995,M4,1189.74,33.0,1222.74,0
Job_015,0,1197.28,2437.611998256408,M2,1197.28,14.0,1211.28,0
Job_003,6,207.97,2275.1899970940126,M7,1205.74,85.0,1290.74,0
Job_009,2,781.95,2486.2229747034607,M2,1211.28,61.0,1272.28,0
Job_015,1,1197.28,2437.611998256408,M0,1211.28,6.0,1217.28,0
Job_012,0,1003.56,2613.151142775491,M0,1217.28,43.0,1260.28,0
Job_015,2,1197.28,2437.611998256408,M1,1217.28,22.0,1239.28,0
Job_010,2,891.94,2593.056913639195,M1,1239.28,46.0,1285.28,0
Job_015,3,1197.28,2437.611998256408,M5,1239.28,61.0,1300.28,0
Job_007,6,515.63,2216.746913639195,M8,1241.74,19.0,1260.74,0
Job_007,7,515.63,2216.746913639195,M9,1260.74,48.0,1308.74,0
Job_009,3,781.95,2486.2229747034607,M6,1272.28,7.0,1279.28,0
Job_012,1,1003.56,2613.151142775491,M2,1272.28,90.0,1362.28,0
Job_009,4,781.95,2486.2229747034607,M8,1279.28,64.0,1343.28,0
Job_010,3,891.94,2593.056913639195,M5,1300.28,74.0,1374.28,0
Job_015,4,1197.28,2437.611998256408,M3,1300.28,26.0,1326.28,0
