Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_017,3,1324.04,2570.684120384939,M3,1443.04,36.0,1479.04,0
Job_017,4,1324.04,2570.684120384939,M4,1479.04,49.0,1528.04,0
Job_011,0,944.71,2828.8784553666037,M0,1480.01,76.0,1556.01,0
Job_013,0,1185.73,2751.136287875772,M2,1492.87,84.0,1576.87,0
Job_003,7,207.97,2275.1899970940126,M3,1495.09,98.0,1593.09,0
Job_015,7,1197.28,2437.611998256408,M7,1495.09,49.0,1544.09,0
Job_007,6,515.63,2216.746913639195,M8,1498.75,19.0,1517.75,0
Job_009,3,781.95,2486.2229747034607,M6,1498.75,7.0,1505.75,0
Job_019,1,1440.0,2686.644120384939,M1,1498.87,78.0,1576.87,0
Job_010,5,891.94,2593.056913639195,M6,1505.75,88.0,1593.75,0
Job_007,7,515.63,2216.746913639195,M9,1517.75,48.0,1565.75,0
Job_009,4,781.95,2486.2229747034607,M8,1517.75,64.0,1581.75,0
Job_012,2,1003.56,2613.151142775491,M4,1528.04,75.0,1603.04,0
Job_007,8,515.63,2216.746913639195,M7,1565.75,36.0,1601.75,0
Job_013,1,1185.73,2751.136287875772,M1,1576.87,2.0,1578.87,0
Job_011,1,944.71,2828.8784553666037,M1,1578.87,69.0,1647.87,0
Job_003,8,207.97,2275.1899970940126,M9,1593.09,22.0,1615.09,0
Job_008,2,748.04,2632.2084553666036,M3,1593.09,76.0,1669.09,0
Job_010,6,891.94,2593.056913639195,M8,1593.75,19.0,1612.75,0
Job_003,9,207.97,2275.1899970940126,M5,1615.09,43.0,1658.09,0
Job_015,8,1197.28,2437.611998256408,M9,1615.09,72.0,1687.09,0
Job_016,0,1198.72,2991.3626845028994,M1,1647.87,91.0,1738.87,0
Job_017,5,1324.04,2570.684120384939,M5,1658.09,11.0,1669.09,0
Job_007,9,515.63,2216.746913639195,M3,1669.09,79.0,1748.09,0
Job_013,2,1185.73,2751.136287875772,M5,1669.09,52.0,1721.09,0
Job_017,6,1324.04,2570.684120384939,M6,1669.09,62.0,1731.09,0
Job_023,0,1686.61,2926.9419982564077,M2,1686.61,14.0,1700.61,0
Job_009,5,781.95,2486.2229747034607,M9,1687.09,76.0,1763.09,0
Job_023,1,1686.61,2926.9419982564077,M0,1700.61,6.0,1706.61,0
Job_008,3,748.04,2632.2084553666036,M5,1721.09,51.0,1772.09,0
Job_017,7,1324.04,2570.684120384939,M7,1731.09,56.0,1787.09,0
Job_016,1,1198.72,2991.3626845028994,M0,1738.87,85.0,1823.87,0
Job_023,2,1686.61,2926.9419982564077,M1,1738.87,22.0,1760.87,0
Job_013,3,1185.73,2751.136287875772,M3,1748.09,95.0,1843.09,0
Job_010,7,891.94,2593.056913639195,M9,1763.09,48.0,1811.09,0
Job_019,2,1440.0,2686.644120384939,M2,1763.09,9.0,1772.09,0
Job_008,4,748.04,2632.2084553666036,M2,1772.09,85.0,1857.09,0
Job_009,6,781.95,2486.2229747034607,M5,1772.09,47.0,1819.09,0
Job_017,8,1324.04,2570.684120384939,M8,1787.09,44.0,1831.09,0
Job_025,0,1799.74,3112.661402734518,M1,1799.74,46.0,1845.74,0
Job_010,8,891.94,2593.056913639195,M7,1811.09,36.0,1847.09,0
Job_020,0,1528.05,3137.641142775491,M0,1823.87,43.0,1866.87,0
Job_017,9,1324.04,2570.684120384939,M9,1831.09,21.0,1852.09,0
Job_009,7,781.95,2486.2229747034607,M3,1843.09,52.0,1895.09,0
Job_012,3,1003.56,2613.151142775491,M9,1852.09,11.0,1863.09,0
Job_024,0,1759.39,3324.7962878757717,M2,1857.09,84.0,1941.09,0
Job_008,5,748.04,2632.2084553666036,M9,1863.09,11.0,1874.09,0
Job_025,1,1799.74,3112.661402734518,M0,1866.87,37.0,1903.87,0
Job_009,8,781.95,2486.2229747034607,M4,1895.09,90.0,1985.09,0
Job_012,4,1003.56,2613.151142775491,M3,1895.09,69.0,1964.09,0
Job_015,9,1197.28,2437.611998256408,M6,1961.09,53.0,2014.09,0
Job_012,5,1003.56,2613.151142775491,M1,1964.09,28.0,1992.09,0
Job_019,3,1440.0,2686.644120384939,M3,1964.09,36.0,2000.09,0
Job_018,0,1429.61,3133.8829747034606,M1,1992.09,85.0,2077.09,0
Job_010,9,891.94,2593.056913639195,M3,2000.09,79.0,2079.09,0
Job_019,4,1440.0,2686.644120384939,M4,2000.09,49.0,2049.09,0
Job_012,6,1003.56,2613.151142775491,M6,2014.09,46.0,2060.09,0
Job_019,5,1440.0,2686.644120384939,M5,2049.09,11.0,2060.09,0
Job_012,7,1003.56,2613.151142775491,M5,2060.09,46.0,2106.09,0
Job_019,6,1440.0,2686.644120384939,M6,2060.09,62.0,2122.09,0
Job_020,1,1528.05,3137.641142775491,M2,2068.09,90.0,2158.09,0
Job_009,9,781.95,2486.2229747034607,M7,2077.09,45.0,2122.09,0
Job_014,0,1190.89,3258.109997094013,M1,2077.09,81.0,2158.09,0
Job_025,2,1799.74,3112.661402734518,M3,2079.09,61.0,2140.09,0
Job_023,3,1686.61,2926.9419982564077,M5,2106.09,61.0,2167.09,0
Job_008,6,748.04,2632.2084553666036,M6,2122.09,40.0,2162.09,0
Job_019,7,1440.0,2686.644120384939,M7,2122.09,56.0,2178.09,0
Job_011,2,944.71,2828.8784553666037,M3,2140.09,76.0,2216.09,0
Job_014,1,1190.89,3258.109997094013,M2,2158.09,95.0,2253.09,0
