Job,Operation,Arrival,Machine,Start,Simulated Processing Time,Flow time,End
Job_000,0,0.0,M0,0.0,13.2,13.2,13.2
Job_000,1,0.0,M1,29.0,96.46,125.46,125.46
Job_000,2,0.0,M2,125.46,9.26,134.72,134.72
Job_000,3,0.0,M3,134.72,30.43,165.15,165.15
Job_000,4,0.0,M4,165.15,34.96,200.11,200.11
Job_000,5,0.0,M5,201.0,15.12,216.12,216.12
Job_000,6,0.0,M6,216.12,92.22,308.34,308.34
Job_000,7,0.0,M7,308.34,112.92,421.26,421.26
Job_000,8,0.0,M8,421.26,41.16,462.42,462.42
Job_000,9,0.0,M9,462.42,18.5,480.92,480.92
Job_001,0,88.05,M0,270.99,35.33,218.26999999999998,306.32
Job_001,1,88.05,M2,309.61,69.32,290.88,378.93
Job_001,2,88.05,M4,399.61,77.35,388.90999999999997,476.96
Job_001,3,88.05,M9,480.92,6.29,399.15999999999997,487.21
Job_001,4,88.05,M3,503.74,61.07,476.75999999999993,564.81
Job_001,5,88.05,M1,572.74,47.12,531.8100000000001,619.86
Job_001,6,88.05,M6,738.61,43.95,694.51,782.56
Job_001,7,88.05,M5,784.61,53.25,749.8100000000001,837.86
Job_001,8,88.05,M7,837.86,74.25,824.0600000000001,912.11
Job_001,9,88.05,M8,938.05,49.54,899.5400000000001,987.59
Job_002,0,152.78,M1,619.86,97.24,564.32,717.1
Job_002,1,152.78,M0,717.1,103.47,667.7900000000001,820.57
Job_002,2,152.78,M3,879.28,48.18,774.6800000000001,927.46
Job_002,3,152.78,M2,927.46,47.05,821.73,974.51
Job_002,4,152.78,M8,987.59,80.83,915.6400000000001,1068.42
Job_002,5,152.78,M5,1100.64,7.56,955.4200000000001,1108.2
Job_002,6,152.78,M7,1108.2,19.53,974.95,1127.73
Job_002,7,152.78,M6,1201.8,141.46,1190.48,1343.26
Job_002,8,152.78,M9,1343.26,40.5,1230.98,1383.76
Job_002,9,152.78,M4,1416.79,14.73,1278.74,1431.52
Job_003,0,207.97,M1,719.26,87.02,598.31,806.28
Job_003,1,207.97,M2,806.28,106.24,704.55,912.52
Job_003,2,207.97,M0,916.74,90.69,799.4599999999999,1007.43
Job_003,3,207.97,M4,1007.43,227.41,1026.87,1234.84
Job_003,4,207.97,M6,1343.26,9.73,1145.02,1352.99
Job_003,5,207.97,M8,1352.99,38.6,1183.62,1391.59
Job_003,6,207.97,M7,1391.59,103.5,1287.12,1495.09
Job_004,0,246.61,M2,246.61,19.17,19.16999999999996,265.78
Job_004,1,246.61,M0,265.78,5.21,24.379999999999995,270.99
Job_004,2,246.61,M1,270.99,28.59,52.96999999999997,299.58
Job_004,3,246.61,M5,299.58,50.46,103.43,350.04
Job_004,4,246.61,M3,350.04,51.3,154.72999999999996,401.34
Job_004,5,246.61,M4,476.96,127.85,358.19999999999993,604.81
Job_004,6,246.61,M8,604.81,26.35,384.54999999999995,631.16
Job_004,7,246.61,M7,631.16,52.55,437.1,683.71
Job_004,8,246.61,M9,683.71,69.12,506.22,752.83
Job_004,9,246.61,M6,782.56,24.65,560.6,807.21
Job_005,0,319.39,M2,519.56,88.8,288.97,608.36
Job_005,1,319.39,M1,717.1,2.16,399.87,719.26
Job_005,2,319.39,M5,719.26,43.3,443.16999999999996,762.56
Job_005,3,319.39,M3,762.56,116.72,559.89,879.28
Job_005,4,319.39,M8,879.28,58.77,618.66,938.05
Job_005,5,319.39,M9,938.05,86.93,705.59,1024.98
Job_005,6,319.39,M0,1024.98,56.15,761.7400000000001,1081.13
Job_005,7,319.39,M6,1081.13,120.67,882.41,1201.8
Job_005,8,319.39,M4,1251.64,3.73,935.9799999999999,1255.37
Job_005,9,319.39,M7,1255.37,27.58,963.5600000000001,1282.95
Job_006,0,359.74,M1,359.74,33.84,33.839999999999975,393.58
Job_006,1,359.74,M0,405.74,30.22,76.21999999999997,435.96
Job_006,2,359.74,M3,442.74,60.25,143.25,502.99
Job_006,3,359.74,M2,503.74,15.82,159.81999999999994,519.56
Job_006,4,359.74,M6,519.56,22.67,182.49,542.23
Job_006,5,359.74,M5,548.74,27.59,216.59000000000003,576.33
Job_006,6,359.74,M9,576.33,61.84,278.42999999999995,638.17
Job_006,7,359.74,M8,638.17,61.62,340.04999999999995,699.79
Job_006,8,359.74,M7,699.79,28.57,368.62,728.36
Job_006,9,359.74,M4,728.36,63.17,431.78999999999996,791.53
Job_007,0,515.63,M2,743.74,20.85,248.96000000000004,764.59
Job_007,1,515.63,M0,820.57,55.87,360.81000000000006,876.44
Job_007,2,515.63,M1,876.44,62.33,423.14,938.77
Job_007,3,515.63,M5,1043.74,56.9,585.0100000000001,1100.64
Job_007,4,515.63,M4,1234.84,16.8,736.0100000000001,1251.64
Job_007,5,515.63,M6,1352.99,145.76,983.12,1498.75
Job_008,0,748.04,M0,1357.08,70.73,679.77,1427.81
Job_008,1,748.04,M1,1431.04,67.83,750.8299999999999,1498.87
