Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Lateness,Absolute Lateness
Job_000,0,0.0,1246.644120384939,M0,0.0,29.0,29.0,-1217.64,1217.64
Job_000,1,0.0,1246.644120384939,M1,29.0,78.0,107.0,-1139.64,1139.64
Job_000,2,0.0,1246.644120384939,M2,107.0,9.0,116.0,-1130.64,1130.64
Job_000,3,0.0,1246.644120384939,M3,116.0,36.0,152.0,-1094.64,1094.64
Job_000,4,0.0,1246.644120384939,M4,152.0,49.0,201.0,-1045.64,1045.64
Job_000,5,0.0,1246.644120384939,M5,201.0,11.0,212.0,-1034.64,1034.64
Job_000,6,0.0,1246.644120384939,M6,212.0,62.0,274.0,-972.64,972.64
Job_004,0,246.61,1486.9419982564077,M2,246.61,14.0,260.61,-1226.33,1226.33
Job_004,1,246.61,1486.9419982564077,M0,260.61,6.0,266.61,-1220.33,1220.33
Job_004,2,246.61,1486.9419982564077,M1,266.61,22.0,288.61,-1198.33,1198.33
Job_000,7,0.0,1246.644120384939,M7,274.0,56.0,330.0,-916.64,916.64
Job_004,3,246.61,1486.9419982564077,M5,288.61,61.0,349.61,-1137.33,1137.33
Job_005,0,319.39,1884.7962878757717,M2,319.39,84.0,403.39,-1481.41,1481.41
Job_000,8,0.0,1246.644120384939,M8,330.0,44.0,374.0,-872.64,872.64
Job_004,4,246.61,1486.9419982564077,M3,349.61,26.0,375.61,-1111.33,1111.33
Job_006,0,359.74,1672.661402734518,M1,359.74,46.0,405.74,-1266.92,1266.92
Job_004,5,246.61,1486.9419982564077,M4,375.61,69.0,444.61,-1042.33,1042.33
Job_005,1,319.39,1884.7962878757717,M1,405.74,2.0,407.74,-1477.06,1477.06
Job_006,1,359.74,1672.661402734518,M0,405.74,37.0,442.74,-1229.92,1229.92
Job_002,0,152.78,1945.4226845028995,M1,407.74,91.0,498.74,-1446.68,1446.68
Job_005,2,319.39,1884.7962878757717,M5,407.74,52.0,459.74,-1425.06,1425.06
Job_001,0,88.05,1697.6411427754908,M0,442.74,43.0,485.74,-1211.9,1211.9
Job_004,6,246.61,1486.9419982564077,M8,444.61,21.0,465.61,-1021.33,1021.33
Job_005,3,319.39,1884.7962878757717,M3,459.74,95.0,554.74,-1330.06,1330.06
Job_004,7,246.61,1486.9419982564077,M7,465.61,49.0,514.61,-972.33,972.33
Job_001,1,88.05,1697.6411427754908,M2,485.74,90.0,575.74,-1121.9,1121.9
Job_004,8,246.61,1486.9419982564077,M9,514.61,72.0,586.61,-900.33,900.33
Job_005,4,319.39,1884.7962878757717,M8,554.74,48.0,602.74,-1282.06,1282.06
Job_006,2,359.74,1672.661402734518,M3,554.74,61.0,615.74,-1056.92,1056.92
Job_001,2,88.05,1697.6411427754908,M4,575.74,75.0,650.74,-1046.9,1046.9
Job_003,0,207.97,2275.1899970940126,M1,578.74,81.0,659.74,-1615.45,1615.45
Job_006,3,359.74,1672.661402734518,M2,615.74,13.0,628.74,-1043.92,1043.92
Job_006,4,359.74,1672.661402734518,M6,628.74,32.0,660.74,-1011.92,1011.92
Job_007,0,515.63,2216.746913639195,M2,628.74,31.0,659.74,-1557.01,1557.01
Job_001,3,88.05,1697.6411427754908,M9,650.74,11.0,661.74,-1035.9,1035.9
Job_003,1,207.97,2275.1899970940126,M2,659.74,95.0,754.74,-1520.45,1520.45
Job_007,1,515.63,2216.746913639195,M0,659.74,86.0,745.74,-1471.01,1471.01
