Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Lateness,Absolute Lateness
Job_012,1,1003.56,2613.151142775491,M2,1440.0,90.0,1530.0,-1083.15,1083.15
Job_003,7,207.97,2275.1899970940126,M3,1441.9,98.0,1539.9,-735.29,735.29
Job_009,5,781.95,2486.2229747034607,M9,1446.98,76.0,1522.98,-963.24,963.24
Job_017,1,1324.04,2570.684120384939,M1,1460.54,78.0,1538.54,-1032.14,1032.14
Job_015,6,1197.28,2437.611998256408,M8,1476.46,21.0,1497.46,-940.15,940.15
Job_011,0,944.71,2828.8784553666037,M0,1480.01,76.0,1556.01,-1272.87,1272.87
Job_015,7,1197.28,2437.611998256408,M7,1497.46,49.0,1546.46,-891.15,891.15
Job_009,6,781.95,2486.2229747034607,M5,1522.98,47.0,1569.98,-916.24,916.24
Job_012,2,1003.56,2613.151142775491,M4,1530.0,75.0,1605.0,-1008.15,1008.15
Job_010,2,891.94,2593.056913639195,M1,1538.54,46.0,1584.54,-1008.52,1008.52
Job_017,2,1324.04,2570.684120384939,M2,1538.54,9.0,1547.54,-1023.14,1023.14
Job_003,8,207.97,2275.1899970940126,M9,1539.9,22.0,1561.9,-713.29,713.29
Job_013,0,1185.73,2751.136287875772,M2,1547.54,84.0,1631.54,-1119.6,1119.6
Job_015,8,1197.28,2437.611998256408,M9,1561.9,72.0,1633.9,-803.71,803.71
Job_009,7,781.95,2486.2229747034607,M3,1569.98,52.0,1621.98,-864.24,864.24
Job_010,3,891.94,2593.056913639195,M5,1584.54,74.0,1658.54,-934.52,934.52
Job_019,1,1440.0,2686.644120384939,M1,1584.54,78.0,1662.54,-1024.1,1024.1
Job_006,9,359.74,1672.661402734518,M4,1617.66,55.0,1672.66,0.0,0.0
Job_017,3,1324.04,2570.684120384939,M3,1621.98,36.0,1657.98,-912.7,912.7
Job_012,3,1003.56,2613.151142775491,M9,1633.9,11.0,1644.9,-968.25,968.25
Job_012,4,1003.56,2613.151142775491,M3,1657.98,69.0,1726.98,-886.17,886.17
Job_013,1,1185.73,2751.136287875772,M1,1662.54,2.0,1664.54,-1086.6,1086.6
Job_019,2,1440.0,2686.644120384939,M2,1662.54,9.0,1671.54,-1015.1,1015.1
Job_011,1,944.71,2828.8784553666037,M1,1664.54,69.0,1733.54,-1095.34,1095.34
Job_001,9,88.05,1697.6411427754908,M8,1667.64,30.0,1697.64,-0.0,0.0
Job_017,4,1324.04,2570.684120384939,M4,1672.66,49.0,1721.66,-849.02,849.02
Job_023,0,1686.61,2926.9419982564077,M2,1686.61,14.0,1700.61,-1226.33,1226.33
Job_023,1,1686.61,2926.9419982564077,M0,1700.61,6.0,1706.61,-1220.33,1220.33
Job_009,8,781.95,2486.2229747034607,M4,1721.66,90.0,1811.66,-674.56,674.56
Job_017,5,1324.04,2570.684120384939,M5,1721.66,11.0,1732.66,-838.02,838.02
